run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_pretrained_checkpoint_path,config_dinov2_model_name,config_slice_aggregation,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_image_size,config_patch_size,config_freeze_encoder,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim,config_chpt_path,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch
7246044498.93264-75e5b631-a55a,brainiac_scratch_t1gd_2025-07-31_10-01-45,finished,2025-07-31T10:02:10Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246044498.93264-75e5b631-a55a,,8105608f-b7eb-43c0-a45a-ad927b2dcb63,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5123955011367798,0.5011081695556641,0.5208333134651184,0.4854976236820221,0.6020780801773071,0.5788107514381409,0.6441264152526855,0.5,0.4435611963272095,0.5665102005004883,0.5253798961639404,0.5250896215438843,0.49462366104125977,0.440191388130188,0.5971254706382751,11365.0,500.0,1753967493.9314032,100.0,7.709637592770997e-09,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7246044446.89746-ebe890af-bad6,brainmvp_pretrained_t1gd_2025-07-31_10-02-10,finished,2025-07-31T10:02:37Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246044446.89746-ebe890af-bad6,,bdb4b32f-d60a-4d88-8497-6df4a57d0dcb,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5053681135177612,0.488696813583374,0.5,0.4433962404727936,0.6029120087623596,0.5656039714813232,0.5933918952941895,0.5,0.4435611963272095,0.5709012746810913,0.49061858654022217,0.4605734944343567,0.5,0.44285714626312256,0.5799532532691956,8374.0,500.0,1753964530.4961207,100.0,7.709637592770997e-09,8800.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,,,,,,,,,,,,,
7246044394.69539-ce13a782-08bd,dinov2_frozen_t1gd_2025-07-31_10-03-45,finished,2025-07-31T10:04:08Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246044394.69539-ce13a782-08bd,,40467df5-62a8-428c-96f1-ada4e93489be,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,True,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.5242980718612671,0.558732271194458,0.5,0.4433962404727936,0.5806961059570312,0.5156161785125732,0.5290524959564209,0.4817002117633819,0.4567466974258423,0.6215159893035889,0.507500946521759,0.46169352531433105,0.5,0.44285714626312256,0.589282214641571,10773.0,500.0,1753967021.2384157,100.0,7.709637592770997e-09,8800.0,,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044340.55383-e6d20302-7561,dinov2_pretrained_t1gd_2025-07-31_10-07-59,finished,2025-07-31T10:08:23Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246044340.55383-e6d20302-7561,,b9cede81-e286-4c20-af92-9fd7c380d4e1,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,True,epochwise,mean,True,0.5,0.4690447449684143,0.4069148898124695,0.5,0.4433962404727936,0.5838072299957275,0.5464420914649963,0.560275673866272,0.5,0.4435611963272095,0.574040949344635,0.5061255097389221,0.5085124969482422,0.5,0.44285714626312256,0.5774000287055969,15963.0,500.0,1753972465.8836567,100.0,7.709637592770997e-09,17500.0,,facebook/dinov2-base,mean,,,,,,,,,,,,,,,,,,,,,,,
7246044123.00555-3b796f94-0399,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-07-31_10-07-56,running,2025-07-31T10:08:33Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246044123.00555-3b796f94-0399,,90dc3554-5a1e-4b23-b313-a2c881258414,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246044235.18352-4137c594-d4e8,mri_core_pretrained_t1gd_2025-07-31_10-08-25,finished,2025-07-31T10:08:58Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7246044235.18352-4137c594-d4e8,,c1b1f0db-e760-40cc-ad4b-ae09ca765b72,t-jiachentu,False,0,Classification,100.0,False,MRICore,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,2.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,True,epochwise,mean,,0.5,0.4888384938240051,0.46054965257644653,0.5,0.4433962404727936,0.576349675655365,0.5130946040153503,0.5272098779678345,0.5,0.4435611963272095,0.5757895708084106,0.4894695580005646,0.4538530111312866,0.5,0.44285714626312256,0.577355146408081,19494.0,500.0,1753976029.7779624,100.0,7.709637592770997e-09,17500.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,mean,12.0,768.0,4.0,12.0,512.0,224.0,16.0,False,,,,,,,,,,,,,,,
7245976996.45560-967dfba1-d482,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_06-25-02,finished,2025-08-01T04:44:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7245976996.45560-967dfba1-d482,,2b7c44df-7826-4f29-9570-6ae0591b5855,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.5901244878768921,0.6316489577293396,0.5,0.4433962404727936,0.573833167552948,0.780521035194397,0.855924129486084,0.6792619228363037,0.7120414972305298,0.50095534324646,0.6042530536651611,0.5999103784561157,0.5611559152603149,0.5666072368621826,0.5956790447235107,25257.0,1206.0,1754049215.0266144,200.0,1.5230484360873043e-09,8800.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,,,,,,,,,
7245976194.58483-5a5679c3-e494,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-12-49,finished,2025-08-01T04:56:21Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7245976194.58483-5a5679c3-e494,,9faa6285-bbdb-491b-b80a-eaef7f195818,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,0.5202773809432983,0.539893627166748,0.5,0.4433962404727936,0.5769853591918945,0.57590252161026,0.6187338829040527,0.5,0.4435611963272095,0.5678982734680176,0.551552414894104,0.542786717414856,0.5,0.44285714626312256,0.5769549608230591,25377.0,1161.0,1754050121.4738908,200.0,1.5230484360873043e-09,17600.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
7245974399.84562-3d104ee0-cd0d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_05-29-01,finished,2025-08-01T05:29:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7245974399.84562-3d104ee0-cd0d,,200d018a-8f2d-4c13-8f33-29d403193981,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,False,epochwise,,,0.2,0.5785075426101685,0.6351950168609619,0.5,0.4433962404727936,0.576090395450592,0.5537406802177429,0.6152506470680237,0.5,0.4435611963272095,0.5711288452148438,0.5916368961334229,0.6225358247756958,0.5,0.44285714626312256,0.5697473883628845,22080.0,1000.0,1754048252.494532,200.0,1.5230484360873043e-09,70000.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,,,,,,,,,,,,
7245973529.95971-5bbbf13b-b595,resenc_time_conditioned_pretrained_t1gd_2025-08-01_05-39-44,finished,2025-08-01T05:40:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_upenn_gbm_survival_2year_single_t1gd/runs/7245973529.95971-5bbbf13b-b595,,1542b421-ca98-4d26-9009-e350aa0494f3,t-jiachentu,False,0,Classification,200.0,False,ResEncTimeConditioned,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,2e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,survival_2year,True,power,3.0,False,1.0,False,epochwise,cls_token,,0.5,0.4919748306274414,0.45390069484710693,0.5,0.4433962404727936,0.577122151851654,0.49927806854248047,0.4793023467063904,0.5,0.4435611963272095,0.5782541036605835,0.500392735004425,0.4634856581687927,0.5,0.44285714626312256,0.577945351600647,24454.0,1000.0,1754051279.5316734,200.0,1.5230484360873043e-09,70000.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,False,256.0,0.5,64.0,,,,,,,,,,,,
