run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246598703.66396-c2b0476b-4412,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-08-01,finished,2025-07-25T00:08:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598703.66396-c2b0476b-4412,,406f8503-b4c1-4b74-9519-4113df88e6ae,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.7469968795776367,0.7571429014205933,0.5,0.42424243688583374,0.6143499612808228,0.9985015392303468,0.9989417791366576,0.9809523820877076,0.9775403738021852,0.372351735830307,0.5016550421714783,0.4555555582046509,0.44285714626312256,0.4433996379375458,0.8207699060440063,9671.0,500.0,1753411785.142701,100.0,1.927409398192747e-08,17100.0,,,,,,,,,,,,,,,
7246598273.80880-6a9b145f-89e9,brainiac_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-10-24,finished,2025-07-25T00:10:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598273.80880-6a9b145f-89e9,,ebe819f5-a940-442e-81ea-3fe14327668b,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.7713115215301514,0.7825396656990051,0.5,0.42424243688583374,0.6143910884857178,0.9994643926620485,0.9996472597122192,0.984920620918274,0.984920620918274,0.3584965169429779,0.533296525478363,0.5,0.4095238149166107,0.41323527693748474,0.7822913527488708,9065.0,500.0,1753411311.8323245,100.0,1.927409398192747e-08,17100.0,,,,,,,,,,,,,,,
7246598234.35254-9c2c5727-a8c7,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-10-32,finished,2025-07-25T00:10:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598234.35254-9c2c5727-a8c7,,ba288493-087f-4d68-ad90-bc26bcd6ed06,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.672018826007843,0.653174638748169,0.5,0.42424243688583374,0.6231150031089783,0.9362958669662476,0.9502645134925842,0.9015873074531556,0.8959130048751831,0.4253794252872467,0.5338970422744751,0.5301587581634521,0.5476190447807312,0.4810047149658203,0.9119906425476074,2883.0,500.0,1753405134.5806088,100.0,3.854818796385494e-08,2200.0,,,,,,,,,,,,,,,
7246598247.81879-bdde180a-3b99,brainiac_scratch_multi_flair_t1_t1ce_t2_2025-07-25_00-10-37,finished,2025-07-25T00:10:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598247.81879-bdde180a-3b99,,1954919f-d165-43f3-a710-48db2c26a051,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.6490745544433594,0.6507936716079712,0.5,0.42424243688583374,1.1672649383544922,0.9339956045150756,0.9555555582046508,0.879365086555481,0.879365086555481,0.4494765400886536,0.5419901013374329,0.46666663885116577,0.44285714626312256,0.4433996379375458,1.3459845781326294,8966.0,500.0,1753411224.2263594,100.0,3.854818796385494e-08,17100.0,,,,,,,,,,,,,,,
7246598221.39855-2ba336fa-028f,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-07-25_00-11-08,failed,2025-07-25T00:11:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598221.39855-2ba336fa-028f,,10c0437b-db58-484f-8eea-2010d0f8fb46,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.001,4.0,False,0.0,True,False,full,True,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,mean,True,0.5,,,,,,,,,,,,,,,,363.0,,,,,,facebook/dinov2-base,mean,,,,,,,,,,,,,
7246598208.10668-06bd1bed-37ce,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-11-12,finished,2025-07-25T00:11:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598208.10668-06bd1bed-37ce,,032264c5-b46d-4f53-a4b1-27bfb2b45fe4,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.7409303188323975,0.8095238208770752,0.6952381134033203,0.6993914842605591,0.5372318625450134,0.9896851181983948,0.9934744238853456,0.9507936239242554,0.9475942850112916,0.3809649050235748,0.8142513632774353,0.8761904835700989,0.6619047522544861,0.6686046123504639,0.5561232566833496,3967.0,500.0,1753406264.6000926,100.0,3.854818796385494e-08,2200.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
7246598182.16566-e1547695-cf53,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-13-04,finished,2025-07-25T00:13:22Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598182.16566-e1547695-cf53,,02097459-5e6d-43b8-a0cb-825d1a426d4e,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.863592267036438,0.8539682626724243,0.773809552192688,0.773809552192688,0.5225277543067932,0.9831852912902832,0.9902998208999634,0.9396825432777404,0.9396825432777404,0.395356148481369,0.7425937056541443,0.7952380776405334,0.7452380657196045,0.6918919086456299,0.7171270251274109,4116.0,500.0,1753406518.9838252,100.0,3.854818796385494e-08,2200.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246598194.89565-1418f7ad-5fed,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-07-25_00-13-08,finished,2025-07-25T00:13:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246598194.89565-1418f7ad-5fed,,8c897eff-b181-41d1-b603-cf9648dd9889,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.8890770673751831,0.8984127044677734,0.688095211982727,0.7183794975280762,0.5153793096542358,0.996032416820526,0.9970017671585084,0.9666666984558104,0.9768762588500975,0.3676213324069977,0.7973984479904175,0.8476190567016602,0.6714285612106323,0.6677030324935913,0.6169593334197998,4040.0,500.0,1753406453.8628905,100.0,3.854818796385494e-08,2200.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246593852.46964-795af846-e96c,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-07-25_01-27-36,finished,2025-07-25T01:27:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246593852.46964-795af846-e96c,,5e566229-d955-4f06-81eb-6b1260925a72,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.001,4.0,False,0.0,True,False,full,True,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.4996282160282135,0.4238095283508301,0.4642857015132904,0.40625,1.179304838180542,0.9539149403572084,0.9606701731681824,0.8920634984970093,0.8602941036224365,0.6408721208572388,0.6320888996124268,0.6460317373275757,0.488095223903656,0.4183673560619354,1.0399205684661863,12326.0,500.0,1753419197.964953,100.0,3.854818796385499e-07,17100.0,facebook/dinov2-base,mean,,,,,,,,,,,,,
7246579725.92459-d0b24063-1ce0,resenc_pretrained_multi_flair_t1_t1ce_t2_2025-07-26_02-26-36,finished,2025-07-26T00:51:32Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246579725.92459-d0b24063-1ce0,,0e9c0d56-0d7b-4322-8e8f-564fe5dce1c4,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,lgg_vs_hgg,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.7409303188323975,0.8095238208770752,0.6952381134033203,0.6993914842605591,0.5372318625450134,0.9896851181983948,0.9934744238853456,0.9507936239242554,0.9475942850112916,0.3809649050235748,0.8142513632774353,0.8761904835700989,0.6619047522544861,0.6686046123504639,0.5561232566833496,6012.0,601.0,1753501817.7431705,100.0,3.854818796385494e-08,2200.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
