run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_image_size,config_time_dim,config_chpt_path,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246475004.76209-6bdbe726-bfaa,brainmvp_pretrained_t1ce_2025-07-26_10-33-51,finished,2025-07-26T10:34:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246475004.76209-6bdbe726-bfaa,,442a2432-7970-4cd1-a156-8a6ca505cdca,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7603965401649475,0.817460298538208,0.5,0.2083333283662796,0.7678827047348022,0.9089236259460448,0.9474426507949828,0.8833333253860474,0.8860860466957092,0.4569576382637024,0.7530883550643921,0.7888889312744141,0.6095238327980042,0.620583713054657,0.6347047686576843,3607,500,1753529663.1164002,100,3.854818796385494e-08,4300,,,,,,,,,
7246389265.58381-abab66b2-304a,dinov2_pretrained_t1ce_2025-07-27_10-16-58,finished,2025-07-27T10:17:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246389265.58381-abab66b2-304a,,1f75237e-8e89-4fd7-b536-194a3507ffed,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,True,0.5,0.8722649812698364,0.9142857193946838,0.7190476655960083,0.733077883720398,0.4945944845676422,1.0,1.0,1.0,1.0,0.328054815530777,0.9306219816207886,0.938095211982727,0.8523809909820557,0.8449280858039856,0.4680050313472748,22594,1500,1753634035.6727855,300,3.1471622649714703e-10,51300,facebook/dinov2-base,mean,,,,,,,
7246388894.07091-e99d3d90-2b16,brainmvp_pretrained_t1ce_2025-07-27_10-32-39,finished,2025-07-27T10:23:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246388894.07091-e99d3d90-2b16,,2d8cd9f5-5a1c-471d-95d2-ee68cd9f43d0,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6188982725143433,0.644444465637207,0.5833333134651184,0.5874840021133423,0.721744954586029,0.9853790998458862,0.9873015880584716,0.9507936239242554,0.9475942850112916,0.3818996548652649,0.7139386534690857,0.7333333492279053,0.6595238447189331,0.6524389982223511,0.6616283655166626,14302,1541,1753626108.9832988,300,3.1471622649714703e-10,12900,,,,,,,,,
7246388529.94112-b8b95eec-c4ab,brainiac_pretrained_t1ce_2025-07-27_10-39-45,finished,2025-07-27T10:23:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246388529.94112-b8b95eec-c4ab,,71a3c23f-41d9-432a-911c-47ff01c233c0,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6963649988174438,0.7777777910232544,0.7190476655960083,0.6355499029159546,0.7802191376686096,1.0,1.0,0.9960317611694336,0.9925134778022766,0.36454421281814575,0.7930826544761658,0.8428571224212646,0.735714316368103,0.6998946666717529,0.6695795655250549,31144,1501,1753643737.0984082,300,3.1471622649714703e-10,12900,,,,,,,,,
7246388161.06161-2bc7e4e9-dc07,brainiac_scratch_t1ce_2025-07-27_10-35-48,finished,2025-07-27T10:36:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246388161.06161-2bc7e4e9-dc07,,c3b44b20-06d4-443f-8b42-7344bea0c684,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6875733137130737,0.720634937286377,0.7023809552192688,0.6752136945724487,0.7367603182792664,0.9854204654693604,0.987830638885498,0.9404761791229248,0.9533975124359132,0.3969043791294098,0.7815876007080078,0.831745982170105,0.788095235824585,0.7038961052894592,0.7828480005264282,31024,1500,1753643592.034801,300,3.1471622649714703e-10,12900,,,,,,,,,
7246387811.48551-4ef631bb-71b8,mri_core_pretrained_t1ce_2025-07-27_10-39-40,finished,2025-07-27T10:40:00Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246387811.48551-4ef631bb-71b8,,ea6e11e8-d17e-448d-b1b6-d9a1f795238b,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,mean,,0.5,0.7017598748207092,0.7476190328598022,0.7047619223594666,0.695884108543396,0.6086518168449402,1.0,1.0,1.0,1.0,0.3277776539325714,0.8391985893249512,0.8301587104797363,0.723809540271759,0.6842105388641357,0.5978408455848694,51607,1500,1753664406.571566,300,3.1471622649714703e-10,51300,,mean,224.0,,,,,,
7246386732.65252-0a51619f-3e5b,resenc_tc_time_conditioned_pretrained_t1ce_2025-07-27_10-53-31,finished,2025-07-27T10:53:54Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246386732.65252-0a51619f-3e5b,,92d6058b-b7b5-4482-877c-632864afaa1f,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,,0.2,0.5539326667785645,0.5428571701049805,0.561904788017273,0.5644943714141846,0.7661058902740479,1.0,1.0,1.0,1.0,0.3300533592700958,0.5970847606658936,0.6634920835494995,0.6547619104385376,0.6148648262023926,0.9058935046195984,20549,1500,1753634183.9052718,300,3.1471622649714703e-10,6600,,,,256.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,64.0,,,
7246387454.24590-0c4e1de7-aaa9,resenc_pretrained_t1ce_2025-07-27_10-53-48,finished,2025-07-27T10:54:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246387454.24590-0c4e1de7-aaa9,,28562fff-5f50-48de-baed-2285e32fd7eb,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,,,0.2,0.7398948073387146,0.8015873432159424,0.7547619342803955,0.6826072931289673,0.6734779477119446,1.0,1.0,1.0,1.0,0.327318012714386,0.8225218057632446,0.8134920597076416,0.7095237970352173,0.6452669501304626,0.8080756664276123,19550,1500,1753633210.2736137,300,3.1471622649714703e-10,6600,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,
7246222032.84067-5ca1e491-1adc,resenc_time_conditioned_pretrained_t1ce_2025-07-29_08-37-31,finished,2025-07-29T08:37:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246222032.84067-5ca1e491-1adc,,42e479b0-0de5-4e12-84e8-c3a8bc998013,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.584254264831543,0.5857142806053162,0.5023809671401978,0.5023809671401978,0.7337758541107178,0.9994495511054992,0.9996472597122192,0.9960317611694336,0.9925134778022766,0.3372504711151123,0.6445974707603455,0.7039682865142822,0.6642857193946838,0.607926607131958,0.9224244952201844,18125,1500,1753796400.5179365,300,3.1471622649714703e-10,12900,,,,256.0,,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246151861.08843-07bd0509-4885,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1ce_2025-07-30_04-19-54,finished,2025-07-30T04:21:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_single_t1ce/runs/7246151861.08843-07bd0509-4885,,dd056811-c368-4f5e-9809-5c1d41cbf0a9,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset006_BraTS18,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,lgg_vs_hgg,True,power,3,False,1,False,epochwise,,,0.2,0.5587143301963806,0.5571428537368774,0.5833333134651184,0.5874840021133423,0.7126212120056152,1.0,1.0,1.0,1.0,0.33872485160827637,0.5763901472091675,0.634920597076416,0.6547619104385376,0.6148648262023926,0.9233945608139038,12887,1000,1753862150.0773168,200,3.8076210902182607e-10,34200,,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,
