run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246474924.26797-55b1b768-61ef,brainmvp_pretrained_t1c_2025-07-26_10-28-07,finished,2025-07-26T10:28:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246474924.26797-55b1b768-61ef,,31067d8f-b7b1-4df3-a9f1-5b491ce49bb7,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6413422226905823,0.6754732131958008,0.5,0.4676007032394409,0.5109162926673889,0.8367789387702942,0.9040199518203736,0.7118416428565979,0.7695672512054443,0.42389360070228577,0.6519482135772705,0.6998577117919922,0.5893111228942871,0.6100643277168274,0.5074073672294617,15548,500,1753541253.1767051,100,3.854818796385494e-08,22700,,,,,,,,,
7246390568.80517-e01f6fe5-2bc3,dinov2_pretrained_t1c_2025-07-27_09-49-11,finished,2025-07-27T09:49:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246390568.80517-e01f6fe5-2bc3,,475df4d9-01d8-4dc1-8518-eca070f82595,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,True,0.5,0.9973469376564026,0.9991902112960817,0.8108108043670654,0.870559573173523,0.36896201968193054,1.0,1.0,0.995412826538086,0.997383177280426,0.3267829418182373,0.9967485070228576,0.999085545539856,0.9054054021835328,0.941267728805542,0.35430416464805603,103205,1500,1753712971.989561,300,3.1471622649714703e-10,272400,facebook/dinov2-base,mean,,,,,,,
7246390197.69839-3be873d6-aacb,brainmvp_pretrained_t1c_2025-07-27_09-54-14,finished,2025-07-27T09:54:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246390197.69839-3be873d6-aacb,,7ff12402-6141-4a3b-bfe5-85ccf838d5cc,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.720468282699585,0.774622917175293,0.6546715497970581,0.7002890110015869,0.46194663643836975,0.9796723127365112,0.9904582500457764,0.9280637502670288,0.9457041621208192,0.3541112244129181,0.7245140075683594,0.7866795063018799,0.632086992263794,0.6467226147651672,0.4803493022918701,52559,1500,1753662633.1101298,300,3.1471622649714703e-10,68100,,,,,,,,,
7246389775.59447-e3b292c5-c5ef,brainiac_pretrained_t1c_2025-07-27_10-01-13,finished,2025-07-27T10:01:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246389775.59447-e3b292c5-c5ef,,25d78a1c-1d10-47e9-a35e-0c355fae5257,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.9553521275520324,0.9753011465072632,0.9290920495986938,0.9054341316223145,0.4118558466434479,0.9990320205688475,0.9997243881225586,0.9724770784378052,0.9839787483215332,0.3411328196525574,0.9705297350883484,0.9830318689346312,0.9230339527130128,0.9230339527130128,0.3942185342311859,123355,1500,1753733844.0504177,300,3.1471622649714703e-10,68100,,,,,,,,,
7246389047.09226-f93584d0-c996,mri_core_pretrained_t1c_2025-07-27_10-18-26,finished,2025-07-27T10:18:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246389047.09226-f93584d0-c996,,d0d5b1af-6555-4fe5-b178-5e221297e43b,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,,0.5,0.9935160875320436,0.9975706338882446,0.95945942401886,0.9760799407958984,0.34744441509246826,1.0,1.0,1.0,1.0,0.32630419731140137,0.9976012706756592,0.9992887377738952,0.95945942401886,0.9760695099830629,0.34321466088294983,212428,1500,1753823941.4568172,300,3.1471622649714703e-10,272400,,mean,224.0,,,,,,
7246388687.93529-b71b4969-097f,resenc_pretrained_t1c_2025-07-27_10-26-04,finished,2025-07-27T10:26:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246388687.93529-b71b4969-097f,,0717685f-1689-4435-8a63-6292f5f5af6b,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.9592002630233764,0.9820832014083862,0.9230691194534302,0.9230691194534302,0.3687365353107453,1.0,1.0,0.995412826538086,0.997383177280426,0.326156347990036,0.9683989882469176,0.9883661270141602,0.944421887397766,0.9199433326721193,0.3769284188747406,71928,1500,1753683921.929032,300,3.1471622649714703e-10,34200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246388338.53317-63b1a8ba-7bf0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-27_10-30-43,finished,2025-07-27T10:31:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246388338.53317-63b1a8ba-7bf0,,25787830-86c0-4f65-9502-909e1a29f96c,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.9164899587631226,0.9557647705078124,0.7800384759902954,0.8335766792297363,0.39850088953971863,0.9965967535972596,0.9971983432769777,0.994787096977234,0.994787096977234,0.33004099130630493,0.9502890110015868,0.966927409172058,0.9249136447906494,0.9299134016036988,0.3708306849002838,72887,1500,1753685160.6157863,300,3.1471622649714703e-10,34200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246338322.67948-170d5c37-44c0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-28_00-23-44,finished,2025-07-28T00:24:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246338322.67948-170d5c37-44c0,,407b5120-e314-4930-8622-93ece046f7b4,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,,,0.2,0.9508575201034546,0.9665957689285278,0.8750379681587219,0.8707191944122314,0.382415384054184,0.9963288903236388,0.9965265989303588,0.995412826538086,0.997383177280426,0.33032622933387756,0.9433871507644652,0.965251088142395,0.8708596229553223,0.8936928510665894,0.3807738423347473,36027,1500,1753698287.8551872,300,3.1471622649714703e-10,34200,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246334668.26990-7553c828-fddc,dinov2_pretrained_t1c_2025-07-28_01-20-09,finished,2025-07-28T01:20:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246334668.26990-7553c828-fddc,,de88f6db-2d2e-4f8f-9ad4-9f8ec4b10c4a,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,False,epochwise,mean,True,0.5,0.9925180077552797,0.9981779456138612,0.8765057325363159,0.9150173664093018,0.3631469011306762,1.0,1.0,1.0,1.0,0.3273341655731201,0.9943777918815612,0.998374342918396,0.9054054021835328,0.941267728805542,0.3574223518371582,102647,1500,1753768270.0066824,300,3.1471622649714703e-10,272400,facebook/dinov2-base,mean,,,,,,,
7246334294.72651-ea8ed759-fde0,brainmvp_pretrained_t1c_2025-07-28_01-26-04,finished,2025-07-28T01:26:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_gli_vs_men_single_t1c/runs/7246334294.72651-ea8ed759-fde0,,5e9ca23e-4668-42c3-89c9-386e34034750,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,gli_vs_men,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7353494167327881,0.8003846406936646,0.7483550906181335,0.6529920697212219,0.5734900236129761,0.9778534770011902,0.9913997650146484,0.9084635972976683,0.928818702697754,0.3570185899734497,0.7880964279174805,0.8267627954483032,0.691780149936676,0.7109427452087402,0.4481258690357208,46757,1500,1753712734.2340195,300,3.1471622649714703e-10,68100,,,,,,,,,
