run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246597295.11354-f8296069-0f62,brainmvp_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-28-53,finished,2025-07-25T00:29:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597295.11354-f8296069-0f62,,d1040805-3fe7-4e67-ae02-68a257c17f1d,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.691256046295166,0.6689189076423645,0.5739864706993103,0.4854559898376465,1.057686686515808,0.9636859893798828,0.9608719348907472,0.8756371140480042,0.8758631944656372,0.4514712393283844,0.6791277527809143,0.6625086665153503,0.6150381565093994,0.6102564334869385,0.7112155556678772,5372.0,500.0,1753408721.9927063,100.0,3.854818796385494e-08,5700.0,,,,,,,,,,,,,,,
7246597307.79814-f82be756-1d2e,brainiac_scratch_multi_t1n_t1c_t2w_t2f_2025-07-25_00-36-22,finished,2025-07-25T00:37:00Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597307.79814-f82be756-1d2e,,c615bf50-b5ea-4e86-bb56-8c5bba23a14b,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.7814577221870422,0.8216216564178467,0.6381756663322449,0.6116196513175964,0.6687510013580322,0.9596019387245178,0.9596173763275146,0.8909668326377869,0.8893610239028931,0.4555972218513489,0.4335783720016479,0.3752598762512207,0.4438669383525848,0.35248664021492004,6.059174537658691,22431.0,500.0,1753426247.6514902,100.0,3.854818796385494e-08,22600.0,,,,,,,,,,,,,,,
7246597281.75766-acc22a2b-bd95,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-07-25_00-36-42,failed,2025-07-25T00:37:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597281.75766-acc22a2b-bd95,,73c8096a-267b-4249-ac06-90ec74cef1f2,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4.0,False,0.0,True,False,full,True,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,mean,True,0.5,,,,,,,,,,,,,,,,526.0,,,,,,facebook/dinov2-base,mean,,,,,,,,,,,,,
7246597325.03642-0e53fb9e-e21b,brainiac_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-36-46,finished,2025-07-25T00:37:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597325.03642-0e53fb9e-e21b,,c20fa250-a4c2-4167-a7db-2ea69715a55f,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.912081241607666,0.9263513684272766,0.5,0.3245614171028137,6.433752059936523,0.9996908903121948,0.999686360359192,0.995412826538086,0.9955682158470154,0.34694409370422363,1.0,1.0,0.5128205418586731,0.3553571403026581,2.119467496871948,22618.0,500.0,1753426455.8765624,100.0,1.927409398192747e-08,22600.0,,,,,,,,,,,,,,,
7246597242.29418-e642e7dc-842e,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-36-59,finished,2025-07-25T00:37:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597242.29418-e642e7dc-842e,,f591fedc-5cd2-4db4-884d-d6b544c93ce0,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.721860945224762,0.6993243098258972,0.5489864945411682,0.4420289993286133,1.1811364889144895,0.9990887641906738,0.999058961868286,0.9862385392189026,0.9866940975189208,0.35217925906181335,0.9953535199165344,0.99514901638031,0.9358974695205688,0.9341078996658324,0.3995439410209656,22977.0,500.0,1753426828.4932938,100.0,3.854818796385494e-08,2900.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246597268.34191-380d02ec-92ed,resenc_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-36-34,finished,2025-07-25T00:37:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597268.34191-380d02ec-92ed,,d057d90f-3aa5-4131-b735-faa06c2a7b63,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.5638505220413208,0.5300675630569458,0.5989865064620972,0.5261538624763489,0.8636757135391235,1.0,1.0,1.0,1.0,0.3261805474758148,1.0,1.0,0.9487179517745972,0.9473319053649902,0.3919048905372619,22751.0,500.0,1753426606.569633,100.0,3.854818796385494e-08,2900.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
7246597255.22098-948db54a-2faa,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_00-37-13,finished,2025-07-25T00:38:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246597255.22098-948db54a-2faa,,3c1676b3-35fc-4a05-bd33-d7ee30772ecd,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.8180069923400879,0.8081080913543701,0.5989865064620972,0.5261538624763489,1.0678409337997437,1.0,1.0,1.0,1.0,0.34322860836982727,0.9927642345428468,0.992376983165741,0.9230769276618958,0.9208333492279052,0.4092155396938324,9366.0,500.0,1753413258.8629863,100.0,3.854818796385494e-08,2900.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246594014.27313-b1b06dde-1419,dinov2_frozen_multi_t1n_t1c_t2w_t2f_2025-07-25_01-21-01,finished,2025-07-25T01:21:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246594014.27313-b1b06dde-1419,,323a4210-388e-4880-bc29-9266f3610119,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.001,4.0,False,0.0,True,False,full,True,0.2,,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.6796228885650635,0.683783769607544,0.5,0.3245614171028137,7.2532196044921875,0.9846636056900024,0.984317421913147,0.9428762197494508,0.942449688911438,0.5973531007766724,0.9890124201774596,0.9889119863510132,0.5128205418586731,0.3553571403026581,1.624564528465271,16243.0,500.0,1753422727.1058574,100.0,3.854818796385499e-07,22600.0,facebook/dinov2-base,mean,,,,,,,,,,,,,
7246580653.53794-09fc5da2-1b0c,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1n_t1c_t2w_t2f_2025-07-25_05-01-16,finished,2025-07-25T05:01:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246580653.53794-09fc5da2-1b0c,,afec1288-57bf-46f9-8ff3-c54efac8265a,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,men_vs_met,False,power,3.0,False,1.0,True,epochwise,,,0.2,0.9479950666427612,0.945270299911499,0.5,0.3245614171028137,0.9218114018440248,0.996391534805298,0.9962362051010132,0.9780051708221436,0.97785484790802,0.3626384139060974,1.0,1.0,1.0,1.0,0.3327386975288391,4556.0,500.0,1753424251.275567,100.0,3.854818796385494e-08,2900.0,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246476408.11205-a0aefab8-f863,mri_core_frozen_multi_t1n_t1c_t2w_t2f_2025-07-26_10-04-47,crashed,2025-07-26T10:05:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f/runs/7246476408.11205-a0aefab8-f863,,6a5069b5-4ae8-4b41-a863-476c9433d613,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
