run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_chpt_path,config_image_size,config_slice_aggregation,config_dinov2_model_name,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size
7246389099.15114-51219541-e40b,brainmvp_pretrained_t2f_2025-07-27_19-08-10,finished,2025-07-27T10:15:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246389099.15114-51219541-e40b,,3d1389bd-ec40-4aa7-b410-62ccd93b6540,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.6044491529464722,0.5898648500442505,0.5,0.34188035130500793,0.8843889832496643,0.8629897236824036,0.8728926181793213,0.7955775260925293,0.7958847284317017,0.5534261465072632,0.5986231565475464,0.5724185705184937,0.5,0.3391304314136505,1.4236263036727903,34505,3417.0,1753656703.0121822,300.0,3.1471622649714703e-10,8700.0,,,,,,,,,,,,,,,
7246388381.48729-2fb7fbdc-ed5d,brainiac_scratch_t2f_2025-07-27_18-59-32,finished,2025-07-27T10:56:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246388381.48729-2fb7fbdc-ed5d,,5b2a5a04-1421-4d05-b73a-84f2f4e729a5,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.593751072883606,0.5513513088226318,0.5229729413986206,0.4110305905342102,1.1995426416397097,0.9832864999771118,0.9826315641403198,0.9199404120445251,0.9201977252960204,0.4200884103775024,0.9000393152236938,0.8932778835296631,0.7806652784347534,0.7715296149253845,0.6287729144096375,38066,3354.0,1753659577.895698,300.0,3.1471622649714703e-10,17100.0,,,,,,,,,,,,,,,
7246387653.63456-857052df-948e,resenc_pretrained_t2f_2025-07-27_14-32-31,finished,2025-07-27T11:30:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246387653.63456-857052df-948e,,d7eb6d89-c86c-488a-b7f9-d406fcd2b684,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.579867959022522,0.5459460020065308,0.5989865064620972,0.5261538624763489,0.6931716799736023,1.0,1.0,1.0,1.0,0.3255072832107544,0.9986577033996582,0.9986139535903932,0.9615384340286256,0.9605194330215454,0.36182668805122375,26237,2086.0,1753644582.4747672,300.0,3.1471622649714703e-10,8700.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,,,
7246388012.85900-aacf1774-fa60,mri_core_pretrained_t2f_2025-07-29_02-00-20,finished,2025-07-27T12:20:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246388012.85900-aacf1774-fa60,,475b823a-48f6-484f-97c7-b2ef7b54689b,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,,0.5,0.6302412748336792,0.5962837934494019,0.6000000238418579,0.5157232880592346,1.326391339302063,1.0,1.0,1.0,1.0,0.32704293727874756,1.0,1.0,1.0,1.0,0.33203449845314026,155830,4717.0,1753802782.0040438,300.0,3.1471622649714703e-10,67800.0,,224.0,mean,,,,,,,,,,,,
7246387290.50833-582568bd-d706,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-27_12-21-09,finished,2025-07-27T12:21:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246387290.50833-582568bd-d706,,51dfe76f-57cf-4bed-be09-0fb369fa47dd,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.9486480951309204,0.9567567706108092,0.5135135054588318,0.3711433708667755,0.6650428771972656,0.9981493353843688,0.9981181025505066,0.995726466178894,0.9955710172653198,0.3437589108943939,0.9800969362258912,0.9792100191116332,0.9216909408569336,0.921052634716034,0.4464367926120758,11242,1500.0,1753630136.516807,300.0,3.1471622649714703e-10,8700.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,
7246389464.00496-77a860e9-89b2,dinov2_pretrained_t2f_2025-07-27_18-40-03,finished,2025-07-27T12:30:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246389464.00496-77a860e9-89b2,,4eb5322c-2f59-43dd-864d-538bd14ac6e9,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,mean,True,0.5,0.638981282711029,0.5891891717910767,0.5874999761581421,0.4947305321693421,0.8740172982215881,1.0,0.9999999403953552,1.0,1.0,0.3266546130180359,1.0,1.0,1.0,1.0,0.3649466037750244,37186,2517.0,1753665134.0722325,300.0,3.1471622649714703e-10,67800.0,,,mean,facebook/dinov2-base,,,,,,,,,,,
7246388736.95851-90613bee-a6b3,brainiac_pretrained_t2f_2025-07-29_03-02-18,finished,2025-07-27T12:56:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246388736.95851-90613bee-a6b3,,160ec9cc-2dbf-4995-a726-793fae7e1577,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7892863750457764,0.7979730367660522,0.5114864706993103,0.3708359301090241,1.4446791410446167,0.9915289878845216,0.9912177324295044,0.9431898593902588,0.9424677491188048,0.39899781346321106,0.9716795682907104,0.9702009558677672,0.807692289352417,0.7966827154159546,0.5938305258750916,104829,9281.0,1753773992.0928376,300.0,3.1471622649714703e-10,17100.0,,,,,,,,,,,,,,,
7246386929.77410-6b9432b9-032e,resenc_tc_time_conditioned_pretrained_t2f_2025-07-27_13-59-51,finished,2025-07-27T13:01:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246386929.77410-6b9432b9-032e,,a1a3b9ab-c59c-45d8-8d46-623ab95893d8,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,True,epochwise,,,0.2,0.7488445043563843,0.7777026891708374,0.612500011920929,0.5360544323921204,0.971763014793396,1.0,1.0,1.0,1.0,0.32950079441070557,0.9738740921020508,0.9771310091018676,0.9608454704284668,0.9605194330215454,0.3865751624107361,25777,1754.0,1753647595.8631375,300.0,3.1471622649714703e-10,8700.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,256.0,64.0,,,,,,,,,
7246151465.85856-b1b5bd4b-b8b4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-30_04-20-37,finished,2025-07-30T04:21:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246151465.85856-b1b5bd4b-b8b4,,3851966c-62f1-408b-b7b6-dfc20c70ca63,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,,,0.2,0.6413137912750244,0.6057432889938354,0.6499999761581421,0.5935143232345581,0.960903525352478,0.9975944757461548,0.99756920337677,0.995726466178894,0.9955710172653198,0.34507766366004944,0.9657385349273682,0.9715869426727296,0.8839223980903625,0.8810641765594482,0.4333793222904206,16570,1000.0,1753865843.370515,200.0,3.8076210902182607e-10,45200.0,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,,,
7246149520.79064-586c95ac-7642,resenc_time_conditioned_pretrained_t2f_2025-07-30_04-54-55,finished,2025-07-30T04:55:34Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats23_men_vs_met_single_t2f/runs/7246149520.79064-586c95ac-7642,,5acd7383-9b4e-446d-9021-b7a0d196b24c,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset011_BraTS23_GLI_MEN_MET,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,men_vs_met,True,power,3,False,1,False,epochwise,cls_token,,0.5,0.7300326824188232,0.7385135293006897,0.6114864945411682,0.5455930233001709,0.9265015125274658,1.0,1.0,0.995726466178894,0.9955710172653198,0.3320082128047943,0.9762231111526488,0.9771310091018676,0.9352044463157654,0.9341990947723388,0.41747966408729553,19007,1000.0,1753870341.1727426,200.0,3.8076210902182607e-10,45200.0,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
