run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_pretrained_path,config_slice_aggregation,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246478915.65038-9d28b084-1d80,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-07-26_10-04-55,finished,2025-07-26T09:17:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246478915.65038-9d28b084-1d80,,6313d1c9-a635-42d4-bef5-d658657283d1,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.5212770700454712,0.4867864847183227,0.5,0.33076924085617065,0.7013716697692871,0.5168547630310059,0.5008641481399536,0.5024177432060242,0.4948107600212097,0.697586178779602,0.4951742291450501,0.47697946429252625,0.5,0.3463687002658844,0.6924366354942322,9045,593,1753531596.911795,100,3.854818796385494e-08,5900,,,,,,,,,,,,
7246479053.99982-2b379eac-421d,resenc_pretrained_t1w_2025-07-26_10-32-47,finished,2025-07-26T09:17:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246479053.99982-2b379eac-421d,,337ea5f6-8d0c-46b4-b4d6-f17692cccd0e,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.4644853472709656,0.4437103569507599,0.5,0.33076924085617065,0.6942405104637146,0.6101169586181641,0.6171998977661133,0.5809615850448608,0.5777715444564819,0.6831017732620239,0.5220561623573303,0.5041055679321289,0.5438416600227356,0.5436750650405884,0.692814826965332,8532,590,1753532810.142314,100,3.854818796385494e-08,5900,,,,,,,,,,,,
7246478776.79741-2302b8a0-0571,resenc_multimodal_mm_mdae_pretrained_pretrained_t1w_2025-07-26_09-24-17,finished,2025-07-26T09:24:42Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246478776.79741-2302b8a0-0571,,6db637f2-df40-459f-aebb-eaef015eea56,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.5212770700454712,0.4867864847183227,0.5,0.33076924085617065,0.7013716697692871,0.5168547630310059,0.5008641481399536,0.5024177432060242,0.4948107600212097,0.697586178779602,0.4951742291450501,0.47697946429252625,0.5,0.3463687002658844,0.6924366354942322,7044,500,1753528927.1171248,100,3.854818796385494e-08,5900,,,,,,,,,,,,
7246478634.00840-0c09156b-fd2d,resenc_tc_time_conditioned_pretrained_t1w_2025-07-26_10-22-41,finished,2025-07-26T09:41:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246478634.00840-0c09156b-fd2d,,4494ddb7-0337-4bf4-a038-b835198bc7f7,t-jiachentu,False,0,Classification,100,False,TimeConditionedResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.4921550154685974,0.4767441749572754,0.5,0.33076924085617065,0.7033926844596863,0.5273917317390442,0.517622709274292,0.4960838556289673,0.4885767102241516,0.6944122910499573,0.5294430255889893,0.5123167037963867,0.5,0.3463687002658844,0.6936575770378113,8172,556,1753532250.4559176,100,3.854818796385494e-08,5900,256.0,64.0,,,,,,,,,,
7246422025.08167-ab16f7d0-8708,resenc_pretrained_t1w_2025-07-27_01-03-33,finished,2025-07-27T01:04:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246422025.08167-ab16f7d0-8708,,2740bec5-7ebd-4b34-83e2-236130f1a664,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.5310075879096985,0.5221987366676331,0.5,0.33076924085617065,0.6933835744857788,0.9074873924255372,0.9241681098937988,0.8452380895614624,0.8453813195228577,0.5130405426025391,0.5073228478431702,0.5002932548522949,0.5599706768989563,0.5594684481620789,0.7787001729011536,35123,1500,1753613364.954882,300,3.1471622649714703e-10,17700,,,,,,,,,,,,
7246421826.13582-aeefbfd8-ac94,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-07-27_01-08-10,finished,2025-07-27T01:09:14Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246421826.13582-aeefbfd8-ac94,,9052acc7-f3bb-48f1-bc61-5be854cf1714,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.5329023599624634,0.5206130743026733,0.5,0.33076924085617065,0.7085177302360535,0.9448680877685548,0.9442176818847656,0.8579058647155762,0.8581984043121338,0.4741564393043518,0.5028563737869263,0.4894428253173828,0.511436939239502,0.5021276473999023,0.9930262565612792,35036,1500,1753613590.0959327,300,3.1471622649714703e-10,17700,,,,,,,,,,,,
7246421373.11493-aa91ecb3-d7d7,resenc_tc_time_conditioned_pretrained_t1w_2025-07-27_01-14-25,finished,2025-07-27T01:14:50Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246421373.11493-aa91ecb3-d7d7,,beae23f7-2899-476f-9fd8-be7b6fc96bc7,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.5806024670600891,0.5576109886169434,0.5560253858566284,0.48158901929855347,0.6932194232940674,0.9791332483291626,0.979297697544098,0.9260342121124268,0.9250040054321288,0.4138120710849762,0.5772241950035095,0.566568911075592,0.5549853444099426,0.5547423362731934,0.9385841488838196,42660,1500,1753621548.8852708,300,3.1471622649714703e-10,17700,256.0,64.0,,,,,,,,,,
7246421576.71204-379f5f76-bcf1,resenc_multimodal_mm_mdae_pretrained_pretrained_t1w_2025-07-27_01-22-17,finished,2025-07-27T01:22:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246421576.71204-379f5f76-bcf1,,e824ecc3-bb1c-44d8-a844-766cec9c9f92,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.2,0.5814598798751831,0.5634249448776245,0.5383192300796509,0.5261437892913818,0.7088411450386047,0.9559578895568848,0.9560304880142212,0.8795826435089111,0.8797410130500793,0.46257495880126953,0.580487072467804,0.5419355034828186,0.4944281578063965,0.49439680576324463,0.8856961727142334,35126,1500,1753614493.8298695,300,3.1471622649714703e-10,17700,,,,,,,,,,,,
7246407732.72971-40ccad26-3cd1,mri_core_frozen_t1w_2025-07-27_05-02-23,finished,2025-07-27T05:02:42Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246407732.72971-40ccad26-3cd1,,7bdfdf2d-7992-4ae2-aa16-08f925617c94,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,False,epochwise,0.5,0.4790322184562683,0.4238900542259216,0.4463530778884888,0.431372582912445,0.7003592848777771,0.45870018005371094,0.44077956676483154,0.4651222825050354,0.4635167717933655,0.7350544929504395,0.4859277009963989,0.4368035197257995,0.4013196527957916,0.35422080755233765,0.6965432167053223,63631,1500,1753656191.985396,300,3.1471622649714703e-10,17700,,,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,
7246407908.53403-5434d9ab-5f8b,brainmvp_pretrained_t1w_2025-07-27_05-10-14,finished,2025-07-27T05:10:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7246407908.53403-5434d9ab-5f8b,,6c9dee50-a672-424e-bed2-facf9185df0f,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,10,False,False,mgmt_methylation,True,power,3,False,1,True,epochwise,0.0,0.5280941724777222,0.5105708241462708,0.5,0.33076924085617065,0.7088940739631653,0.5981616377830505,0.5960103273391724,0.5559753179550171,0.5496199131011963,0.6818899512290955,0.5482373237609863,0.5448680520057678,0.540469229221344,0.46670836210250854,0.6945923566818237,25438,1500,1753618478.920448,300,3.1471622649714703e-10,35100,,,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,cls_token,0.2,True,,,,
