run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_gradient_clip_val,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389171.33027-f9de5b0e-f978,dinov2_pretrained_flair_2025-07-27_13-39-40,finished,2025-07-27T10:15:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246389171.33027-f9de5b0e-f978,,4399a85b-25ae-4106-91b8-5c9122028c62,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,1,10,mean,False,False,dss_1year,True,power,3,False,2,False,epochwise,mean,True,0.5,0.8770833015441895,0.8333333730697632,0.5,0.3636363744735718,0.6270803809165955,1.0,1.0,1.0,1.0,0.2040913701057434,0.5644841194152832,0.4166666865348816,0.25,0.2222222238779068,0.9349374175071716,7999,2059,1753628618.436727,300,3.1471622649714703e-10,2700,,,,,,,,,
7246388808.19309-c56274f4-22c0,brainmvp_pretrained_flair_2025-07-27_11-19-06,finished,2025-07-27T11:19:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246388808.19309-c56274f4-22c0,,48971293-7eaa-47b8-88ec-57909325103f,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,8,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,True,0.0,0.651289701461792,0.5833333730697632,0.5,0.30000001192092896,0.7192416787147522,0.9320040941238404,0.9220778942108154,0.7662338018417358,0.7662338018417358,0.5015373229980469,0.5269840955734253,0.3333333432674408,0.5,0.3636363744735718,1.0724483728408811,4019,1500,1753619193.551535,300,3.1471622649714703e-10,600,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246388082.82458-106b712b-c638,brainiac_scratch_flair_2025-07-27_12-02-24,finished,2025-07-27T12:02:40Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246388082.82458-106b712b-c638,,d6a6505d-1235-4061-847e-2e3f62a74f4e,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,True,0.0,0.8770833015441895,0.8333333730697632,0.8333333730697632,0.8444444537162781,0.5095499157905579,0.7357900142669678,0.7532467842102051,0.5779221057891846,0.5785953402519226,0.598023533821106,0.8187500238418579,0.75,0.6666666865348816,0.6499999761581421,0.6803849339485168,2659,1500,1753620419.7824838,300,3.1471622649714703e-10,1500,0.2,,,,,,,,
7246387724.47004-1624ca3e-715a,mri_core_pretrained_flair_2025-07-27_16-15-51,finished,2025-07-27T12:23:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246387724.47004-1624ca3e-715a,,e5cdd8f9-4e1f-4d9e-80a0-f63a4f1be553,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,1,False,batchgenerators.get_training_transforms,,1,10,mean,False,False,dss_1year,True,power,3,False,2,False,epochwise,mean,False,0.5,0.7443452477455139,0.6666666269302368,0.8333333730697632,0.8444444537162781,0.6513716578483582,1.0,1.0,1.0,1.0,0.20204941928386688,0.7583333849906921,0.6666666865348816,0.6666666865348816,0.6499999761581421,0.8043144941329956,16900,3512,1753638507.2750823,300,3.1471622649714703e-10,2700,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246387001.89901-2c65789b-bde1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_15-09-03,finished,2025-07-27T12:55:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246387001.89901-2c65789b-bde1,,8cb18c63-55bb-4b3b-8087-e3b925ba05da,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,True,epochwise,,False,0.2,0.5672618746757507,0.4166666865348816,0.5,0.3636363744735718,0.6905660033226013,1.0,1.0,1.0,1.0,0.2099098265171051,0.576884925365448,0.5,0.5416666865348816,0.5333333611488342,1.1914438009262085,11548,3081,1753634903.5957367,300,3.1471622649714703e-10,900,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246388452.68746-94c69585-e19c,brainiac_pretrained_flair_2025-07-27_13-25-21,finished,2025-07-27T13:25:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246388452.68746-94c69585-e19c,,1188814c-2c06-41a7-b60b-0034c9d8ec1d,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,True,0.0,0.420634925365448,0.1666666567325592,0.375,0.30000001192092896,0.9078254103660583,0.9425556659698486,0.9480519890785216,0.8831169009208679,0.8831169009208679,0.4072595536708832,0.6047618985176086,0.5,0.5,0.3636363744735718,0.957675278186798,2717,1500,1753625454.445675,300,3.1471622649714703e-10,1500,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246386641.67571-05c9d12a-5234,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_17-06-55,finished,2025-07-27T14:32:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246386641.67571-05c9d12a-5234,,6589ac56-8d46-4497-9438-2ed341e2c237,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,True,epochwise,,False,0.2,0.5672618746757507,0.4166666865348816,0.5,0.3636363744735718,0.813896119594574,1.0,1.0,1.0,1.0,0.2048332691192627,0.7096229791641235,0.6666666865348816,0.5416666865348816,0.5333333611488342,1.30290687084198,9274,2508,1753639885.5042057,300,3.1471622649714703e-10,900,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,
7246387361.81205-22de0a49-fb61,resenc_pretrained_flair_2025-07-27_19-09-17,finished,2025-07-27T15:51:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246387361.81205-22de0a49-fb61,,d02d19d2-fe7b-4fde-b07d-9b93f1910abd,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,4,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,True,epochwise,,False,0.2,0.8770833015441895,0.8333333730697632,0.5,0.3636363744735718,0.691532552242279,1.0,1.0,1.0,1.0,0.43792855739593506,0.7465277910232544,0.6666666269302368,0.6666666865348816,0.6499999761581421,0.6366427540779114,5875,1500,1753649216.5924733,300,3.1471622649714703e-10,900,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246221742.26437-f2bf8e90-ea37,resenc_time_conditioned_pretrained_flair_2025-07-29_08-49-32,finished,2025-07-29T08:50:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246221742.26437-f2bf8e90-ea37,,5f24ef3f-e231-4915-81c9-613a7c73a44d,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1,False,0,True,False,full,False,0.1,2,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,True,epochwise,cls_token,False,0.5,0.5,0.0,0.1666666716337204,0.25,0.7485334873199463,1.0,1.0,1.0,1.0,0.2011498659849167,0.6666666865348816,0.5,0.75,0.7333333492279053,0.860089123249054,12173,1500,1753791180.3853917,300,3.1471622649714703e-10,2100,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246151216.21482-7f3db9b3-1121,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-24-58,finished,2025-07-30T04:25:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_dss_1year_single_flair/runs/7246151216.21482-7f3db9b3-1121,,4ced9268-2949-478f-a7c3-60a1d1b20e20,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,32,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,5e-06,1,False,0,True,False,full,False,0.1,1,False,batchgenerators.get_training_transforms,,1,10,,False,False,dss_1year,True,power,3,False,2,False,epochwise,,False,0.2,0.5,0.0,0.1666666716337204,0.25,0.6929437518119812,1.0,1.0,1.0,1.0,0.21896417438983917,0.8333333730697632,0.75,0.5,0.5,1.313702940940857,8550,1000,1753858085.711264,200,3.8076210902182607e-10,2600,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
