run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_gradient_clip_val,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_pretrained_encoder_path
7246390222.51470-c0a84e6c-9918,dinov2_pretrained_t1gd_2025-07-27_10-01-26,finished,2025-07-27T10:01:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246390222.51470-c0a84e6c-9918,,be864840-d9f6-438b-85d5-a663584cb6a3,t-jiachentu,False,0,Classification,300.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,1.0,10.0,mean,False,False,pfi_1year,True,power,3.0,False,2.0,False,epochwise,mean,True,0.5,0.6770833730697632,0.625,0.5,0.4000000059604645,0.7848281860351562,1.0,1.0,1.0,1.0,0.2012283056974411,0.43958333134651184,0.0,0.25,0.2857142984867096,1.6628572940826416,11157.0,1500.0,1753621662.475258,300.0,3.1471622649714703e-10,2400.0,,,,,,,,,
7246389799.10019-2b64496d-d66b,brainmvp_pretrained_t1gd_2025-07-27_10-05-49,finished,2025-07-27T10:06:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246389799.10019-2b64496d-d66b,,75bae6ad-c7d7-4a0f-b986-3541c21b6562,t-jiachentu,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,,1.0,10.0,,False,False,pfi_1year,True,power,3.0,False,2.0,True,epochwise,cls_token,True,0.0,0.53125,0.375,0.5,0.25,0.9920082092285156,0.9339630603790284,0.9318181276321412,0.875,0.9068323373794556,0.3751923143863678,0.7250000238418579,0.75,0.875,0.761904776096344,0.6199336647987366,4556.0,1500.0,1753615325.219886,300.0,3.1471622649714703e-10,600.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246388712.48184-495fa0e8-9cd0,mri_core_pretrained_t1gd_2025-07-27_10-20-00,finished,2025-07-27T10:20:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246388712.48184-495fa0e8-9cd0,,83cf96a9-7bed-4917-a690-c79d07151ad8,t-jiachentu,False,0,Classification,300.0,False,mri_core_finetune,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,1.0,False,batchgenerators.get_training_transforms,,1.0,10.0,mean,False,False,pfi_1year,True,power,3.0,False,2.0,False,epochwise,mean,False,0.5,0.53125,0.375,0.5,0.4000000059604645,0.701045572757721,1.0,1.0,1.0,1.0,0.20206359028816223,0.43958333134651184,0.0,0.25,0.2857142984867096,1.876377820968628,12249.0,1500.0,1753623868.140926,300.0,3.1471622649714703e-10,2400.0,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246389071.32635-f65cdb78-2f5a,brainiac_scratch_t1gd_2025-07-27_10-20-04,finished,2025-07-27T10:20:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246389071.32635-f65cdb78-2f5a,,01bd2acc-92a7-449c-802a-8f0bdbe09b98,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,2.0,False,batchgenerators.get_training_transforms,,1.0,10.0,,False,False,pfi_1year,True,power,3.0,False,2.0,True,epochwise,cls_token,True,0.0,0.47083336114883423,0.25,0.5,0.4000000059604645,0.6861624717712402,1.0,1.0,0.875,0.9068323373794556,0.3094812333583832,0.43958333134651184,0.0,0.375,0.375,1.5248624086380005,5742.0,1500.0,1753617361.9610133,300.0,3.1471622649714703e-10,1200.0,0.2,,,,,,,,
7246387994.23927-58372c4b-0bbc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-07-27_10-31-08,finished,2025-07-27T10:31:39Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246387994.23927-58372c4b-0bbc,,a1a6c27a-7be6-4368-8f73-7138658df2c8,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,,1.0,10.0,,False,False,pfi_1year,True,power,3.0,False,2.0,True,epochwise,,False,0.2,0.7520833015441895,0.625,0.5,0.4000000059604645,0.6965520977973938,1.0,1.0,0.875,0.9068323373794556,0.2597225308418274,0.5270833373069763,0.25,0.375,0.375,1.2849881649017334,8253.0,1500.0,1753620551.71899,300.0,3.1471622649714703e-10,600.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246388363.27836-db1dd916-0582,resenc_pretrained_t1gd_2025-07-27_10-33-43,crashed,2025-07-27T10:36:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246388363.27836-db1dd916-0582,,770b5671-5128-49e3-8c34-0905d1c5be74,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,,1.0,10.0,,False,False,pfi_1year,True,power,3.0,False,2.0,True,epochwise,,False,0.2,,,,,,0.5043200254440308,0.34090909361839294,0.5,0.21052631735801697,0.6970041990280151,0.7250000238418579,0.75,0.5,0.1666666716337204,0.6972533464431763,239.052007977,13.0,1753612812.9223404,2.0,1.4285714285714286e-06,5.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246334319.37628-015401cb-7aac,dinov2_pretrained_t1gd_2025-07-28_01-32-03,finished,2025-07-28T01:32:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246334319.37628-015401cb-7aac,,eb878b9d-2ec6-4002-8ddd-b730350b52e1,t-jiachentu,False,0,Classification,300.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,1.0,10.0,mean,False,False,pfi_1year,True,power,3.0,False,2.0,False,epochwise,mean,True,0.5,0.6104166507720947,0.5,0.5,0.4000000059604645,0.9421594738960266,1.0,1.0,1.0,1.0,0.22221411764621735,0.5270833373069763,0.25,0.25,0.2857142984867096,1.228937745094299,8310.0,1500.0,1753674658.3079455,300.0,3.1471622649714703e-10,2400.0,,,,,,,,,
7246333202.13235-40d38ae5-cd58,brainiac_scratch_t1gd_2025-07-28_01-44-04,finished,2025-07-28T01:44:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246333202.13235-40d38ae5-cd58,,cc631cd2-c580-44f3-8e87-badd11d7f7e7,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,2.0,False,batchgenerators.get_training_transforms,,1.0,10.0,,False,False,pfi_1year,True,power,3.0,False,2.0,True,epochwise,cls_token,True,0.0,0.47083336114883423,0.25,0.5,0.4000000059604645,0.6861624121665955,1.0,1.0,0.875,0.9068323373794556,0.3095442056655884,0.43958333134651184,0.0,0.375,0.375,1.5212194919586182,4624.0,1500.0,1753671689.4386542,300.0,3.1471622649714703e-10,1200.0,0.2,,,,,,,,
7246333578.32231-47cf5a9d-f1f4,brainiac_pretrained_t1gd_2025-07-28_01-45-04,finished,2025-07-28T01:45:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246333578.32231-47cf5a9d-f1f4,,7ed335f0-5ca1-4a0f-9723-24ceed4d50ef,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,2.0,False,batchgenerators.get_training_transforms,,1.0,10.0,,False,False,pfi_1year,True,power,3.0,False,2.0,True,epochwise,cls_token,True,0.0,0.8187500238418579,0.75,0.5,0.25,0.7378036379814148,0.9159581661224364,0.931818187236786,0.75,0.7916666865348816,0.4200052917003632,0.5270833373069763,0.25,0.5,0.4444444477558136,0.968734085559845,4726.0,1500.0,1753671851.791278,300.0,3.1471622649714703e-10,1200.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246332474.04159-e24b8928-6673,resenc_pretrained_t1gd_2025-07-28_01-56-06,finished,2025-07-28T01:56:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_tcga_gbm_pfi_1year_single_t1gd/runs/7246332474.04159-e24b8928-6673,,2615beef-3c6d-4633-8cdf-1724c37abe19,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,32.0,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/mri/data/tcga-gbm,False,1e-05,1.0,False,0.0,True,False,full,False,0.1,4.0,False,batchgenerators.get_training_transforms,,1.0,10.0,,False,False,pfi_1year,True,power,3.0,False,2.0,True,epochwise,,False,0.2,0.75,0.75,0.5,0.25,0.6957717537879944,1.0,1.0,0.875,0.9068323373794556,0.47392502427101135,0.6104166507720947,0.5,0.375,0.375,0.6808473467826843,7992.0,1500.0,1753675787.005946,300.0,3.1471622649714703e-10,600.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
