run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size
7246390296.99340-3ad81fc7-ddfc,dinov2_pretrained_t1c_2025-07-27_09-58-57,finished,2025-07-27T09:59:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246390296.99340-3ad81fc7-ddfc,,86189f5b-ab93-4b6e-9f51-100521d120b0,t-jiachentu,False,0,Classification,300.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.9214234352111816,0.9412492513656616,0.7316017150878906,0.7759146690368652,0.4846285283565521,0.5063222050666809,0.5,0.5,0.44106462597846985,NaN,0.5135701894760132,0.4999999701976776,0.5,0.4431818127632141,NaN,35188.0,1500.0,1753645555.577668,300.0,3.1471622649714703e-10,88200.0,,,,,,,,,,,,,,,
7246389879.21112-96353561-3104,brainmvp_pretrained_t1c_2025-07-27_09-59-14,finished,2025-07-27T09:59:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246389879.21112-96353561-3104,,3fe8597b-e799-4e54-8b0f-f924fd62451b,t-jiachentu,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.7544713020324707,0.8614718914031982,0.5,0.4399999976158142,0.6594364643096924,0.9563443660736084,0.9746941328048706,0.905867636203766,0.9034816026687622,0.40402185916900635,0.6105418801307678,0.5647435784339905,0.5,0.4431818127632141,0.6495060324668884,20976.0,1500.0,1753631349.5733583,300.0,3.1471622649714703e-10,22200.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,
7246389503.25686-df88bb2a-b5d2,brainiac_pretrained_t1c_2025-07-27_10-12-25,finished,2025-07-27T10:12:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246389503.25686-df88bb2a-b5d2,,64a210d4-8435-4b24-946d-7291834638b9,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.8362433910369873,0.8658008575439453,0.7575757503509521,0.7000000476837158,0.5956166982650757,0.9687830209732056,0.9752503037452698,0.9107341766357422,0.9257843494415284,0.41379714012146,0.8574507832527161,0.889102578163147,0.8108974695205688,0.7836644649505615,0.5655800700187683,49326.0,1500.0,1753660490.5793867,300.0,3.1471622649714703e-10,22200.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
7246389143.97107-8965a8fd-1df0,brainiac_scratch_t1c_2025-07-27_10-18-08,finished,2025-07-27T10:18:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246389143.97107-8965a8fd-1df0,,27e17a7b-96b2-439f-ae61-c2c877f009bb,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.8712769746780396,0.8893011808395386,0.7597402334213257,0.7217038869857788,0.5444393754005432,0.8907067775726318,0.9400376081466676,0.7816323637962341,0.7866812944412231,0.45462337136268616,0.856295645236969,0.882692277431488,0.8044871687889099,0.7727535963058472,0.5519389510154724,42972.0,1500.0,1753654480.1241567,300.0,3.1471622649714703e-10,22200.0,0.2,,,,,,,,,,,,,,
7246388784.86369-003a577e-1aea,mri_core_pretrained_t1c_2025-07-27_10-23-41,finished,2025-07-27T10:23:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246388784.86369-003a577e-1aea,,f6f6201a-f085-4af2-83ae-7ca9fc38e94c,t-jiachentu,False,0,Classification,300.0,False,mri_core_finetune,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,False,epochwise,mean,,0.5,0.8616024851799011,0.8905380368232727,0.5476190447807312,0.5320432186126709,0.523213803768158,1.0,1.0,1.0,1.0,0.32754746079444885,0.9137544631958008,0.9150640964508056,0.8685897588729858,0.8979166746139526,0.4283384680747986,80483.0,1500.0,1753692321.6531231,300.0,3.1471622649714703e-10,88200.0,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,,,,,,,
7246388435.19744-4f001528-e184,resenc_pretrained_t1c_2025-07-27_10-29-35,finished,2025-07-27T10:30:12Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246388435.19744-4f001528-e184,,4b952420-ceb1-400d-8522-0bfc74ecf97e,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.9154940843582152,0.9257884621620178,0.8138527870178223,0.8367754817008972,0.4674697518348694,0.9350875616073608,0.976675510406494,0.9671857357025146,0.9644405841827391,0.3712106943130493,0.9184961318969728,0.9394230842590332,0.9057692289352416,0.9057692289352416,0.4201488792896271,31206.0,1500.0,1753643419.2230809,300.0,3.1471622649714703e-10,11100.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,
7246388070.43758-2f083dfb-849d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-27_10-36-47,finished,2025-07-27T10:37:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246388070.43758-2f083dfb-849d,,c96fe902-0360-4fae-a2bd-d378d77fbde5,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.9116172790527344,0.9492887854576112,0.8138527870178223,0.8367754817008972,0.4595318138599396,0.9993515014648438,0.99965238571167,0.9919354915618896,0.9948596954345704,0.33911949396133423,0.8706998825073242,0.8782050609588623,0.8557692170143127,0.8694204092025757,0.4613982141017914,32985.0,1500.0,1753645622.9952912,300.0,3.1471622649714703e-10,11100.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,
7246334396.78033-543807d0-d48c,dinov2_pretrained_t1c_2025-07-28_01-25-05,finished,2025-07-28T01:25:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246334396.78033-543807d0-d48c,,a2c18f4c-01ca-4e70-af98-6ecbb02b5933,t-jiachentu,False,0,Classification,300.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh_classification,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.9444701671600342,0.9542362689971924,0.7316017150878906,0.7759146690368652,0.4599571228027344,0.5063222050666809,0.5,0.5,0.44106462597846985,NaN,0.5135701894760132,0.4999999701976776,0.5,0.4431818127632141,NaN,35350.0,1500.0,1753701279.6449866,300.0,3.1471622649714703e-10,88200.0,,,,,,,,,,,,,,,
7246334023.83483-dc0594be-7d44,brainmvp_pretrained_t1c_2025-07-28_01-30-20,finished,2025-07-28T01:30:40Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246334023.83483-dc0594be-7d44,,7e83b29c-c761-44b7-9da3-994308560890,t-jiachentu,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.7487219572067261,0.8466296195983887,0.6103895902633667,0.6265243887901306,0.5100436210632324,0.954558491706848,0.9769883155822754,0.9203976392745972,0.9228953123092652,0.4016997814178467,0.682624340057373,0.7839744091033936,0.5,0.4431818127632141,0.6118653416633606,20364.0,1500.0,1753686602.6866603,300.0,3.1471622649714703e-10,22200.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,,,,,,,
7246333650.39027-04908fed-96fb,brainiac_pretrained_t1c_2025-07-28_01-42-23,finished,2025-07-28T01:42:44Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t1c/runs/7246333650.39027-04908fed-96fb,,01538155-851a-40a4-87ec-7c8e18267895,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh_classification,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.8795754909515381,0.8911564946174622,0.8160173296928406,0.7900899648666382,0.5304566025733948,0.966170847415924,0.9696190357208252,0.9026696681976318,0.919973850250244,0.4147546589374542,0.8373901844024658,0.8942307233810425,0.8544871807098389,0.806869387626648,0.5787549018859863,52507.0,1500.0,1753719466.7064955,300.0,3.1471622649714703e-10,22200.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,,,,,,,
