run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_image_size,config_slice_aggregation,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path,config_dinov2_model_name,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size
7246388917.17140-6033f801-3be2,brainmvp_pretrained_t2_2025-07-27_10-20-12,finished,2025-07-27T10:20:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246388917.17140-6033f801-3be2,,4cb8427e-6055-4275-949c-763bf3ceea2e,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.693120002746582,0.7479901313781738,0.5,0.4399999976158142,0.6512993574142456,0.806024432182312,0.8432285785675049,0.7123192548751831,0.7429808378219604,0.5008143186569214,0.663526177406311,0.615384578704834,0.5,0.4431818127632141,0.6494194269180298,19143.0,1500,1753630772.738798,300,3.1471622649714703e-10,22200,,,,,,,,,,,,,,,
7246388554.01744-4ee78ea0-bfd4,brainiac_pretrained_t2_2025-07-27_10-35-19,finished,2025-07-27T10:35:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246388554.01744-4ee78ea0-bfd4,,96bbbfda-d1f2-4fb5-b1fd-07615ebcebc9,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7133021354675293,0.7810760736465454,0.5,0.4399999976158142,0.6363574266433716,0.9571388959884644,0.964961051940918,0.8886957764625549,0.9129469394683838,0.40411651134490967,0.6860328912734985,0.7333333492279053,0.6660256385803223,0.6413288116455078,0.7381044626235962,42433.0,1500,1753654973.4634004,300,3.1471622649714703e-10,22200,,,,,,,,,,,,,,,
7246388184.29279-9c1ac2f7-2eb8,brainiac_scratch_t2_2025-07-27_10-35-48,finished,2025-07-27T10:36:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246388184.29279-9c1ac2f7-2eb8,,3842696a-8a99-4377-bbdd-7fdf01b5bcc5,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7458407282829285,0.7866419553756714,0.7337662577629089,0.7378442287445068,0.5867103934288025,0.923655927181244,0.9393075704574584,0.8279337882995605,0.8592250347137451,0.4457906186580658,0.6985307931900024,0.7365384101867676,0.6551281809806824,0.6695652008056641,0.6092630624771118,48769.0,1500,1753661336.325587,300,3.1471622649714703e-10,22200,,,,,,,,,,,,,,,
7246387835.08438-9fe83d70-aa7d,mri_core_pretrained_t2_2025-07-27_10-39-55,finished,2025-07-27T10:40:12Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246387835.08438-9fe83d70-aa7d,,f35a0674-f2d4-42f4-8735-a131e04f04eb,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,mean,,0.5,0.8344670534133911,0.8466296195983887,0.6839826703071594,0.7244980335235596,0.5130225419998169,1.0,1.0,1.0,1.0,0.3271649181842804,0.9360250234603882,0.9596153497695924,0.843589723110199,0.8782608509063721,0.42038774490356445,85239.0,1500,1753698050.52144,300,3.1471622649714703e-10,88200,224.0,mean,,,,,,,,,,,,,
7246387478.07791-33f3561c-6f91,resenc_pretrained_t2_2025-07-27_10-45-41,finished,2025-07-27T10:46:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246387478.07791-33f3561c-6f91,,9e14a1b5-597d-45b7-a7b4-36cd25659dbb,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,,0.2,0.6924363970756531,0.7968460321426392,0.696969747543335,0.696969747543335,0.5336846709251404,0.922881245613098,0.9634315967559814,0.9526557326316832,0.9447623491287231,0.3934549391269684,0.8796802163124084,0.9144231081008912,0.8615384697914124,0.8484848737716675,0.45706674456596375,34641.0,1500,1753647811.6988423,300,3.1471622649714703e-10,11100,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,,,,
7246387119.64536-febb85cc-c9d3,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-27_10-51-50,finished,2025-07-27T10:52:20Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246387119.64536-febb85cc-c9d3,,0d0c95e7-cea0-4256-899c-34d17ddc60fb,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,,0.2,0.817912220954895,0.8484848737716675,0.7424242496490479,0.7739130258560181,0.5070633292198181,0.9975144863128662,0.9988181591033936,0.9817157983779908,0.9845790863037108,0.34898442029953003,0.8190925717353821,0.8538461923599243,0.7108974456787109,0.7070024013519287,0.5859478712081909,32145.0,1500,1753645685.247038,300,3.1471622649714703e-10,11100,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246386755.84119-208c1391-f4e8,resenc_tc_time_conditioned_pretrained_t2_2025-07-27_10-57-28,finished,2025-07-27T10:57:50Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246386755.84119-208c1391-f4e8,,7273091c-c170-4e61-a5c6-8e5e9451a689,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,,,0.2,0.7898930311203003,0.8438466191291809,0.8073593378067017,0.8239425420761108,0.5176151394844055,0.9914947152137756,0.9913793206214904,0.9817157983779908,0.9845790863037108,0.3450721800327301,0.8563705682754517,0.9275640845298768,0.8301281929016113,0.8181818127632141,0.488966703414917,35300.0,1500,1753649167.2611804,300,3.1471622649714703e-10,11100,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,,,,,,,,
7246221648.21443-3b173ccf-2e66,resenc_time_conditioned_pretrained_t2_2025-07-29_08-44-12,finished,2025-07-29T08:44:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246221648.21443-3b173ccf-2e66,,8db48498-b767-462c-a161-1c7e2deb3a00,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.7885379791259766,0.8687423467636108,0.6062270998954773,0.625630259513855,0.5368645191192627,0.9998398423194884,0.99992573261261,0.9912281036376952,0.9945181608200072,0.33576807379722595,0.817846417427063,0.7983561754226685,0.7863013744354248,0.8181818127632141,0.5231082439422607,31439.0,1500,1753810127.9837334,300,3.1471622649714703e-10,22200,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,
7246150990.27428-d59cce1e-3155,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_04-28-04,finished,2025-07-30T04:28:39Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246150990.27428-d59cce1e-3155,,904d06f3-a86a-4e26-b77e-209f418e0f39,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,,,0.2,0.8949077129364014,0.9261294603347778,0.7252747416496277,0.7636363506317139,0.46027061343193054,0.9966169595718384,0.998215913772583,0.969446897506714,0.9725906848907472,0.35146963596343994,0.8979119062423706,0.9161643981933594,0.8463013768196106,0.870198667049408,0.48197484016418457,20481.0,1000,1753870199.3525054,200,3.8076210902182607e-10,58600,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,,,,,,
7246149029.46245-57a92f1c-c7ed,resenc_time_conditioned_pretrained_t2_2025-07-30_04-55-17,crashed,2025-07-30T04:55:53Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_ucsf_pdgm_idh_classification_single_t2/runs/7246149029.46245-57a92f1c-c7ed,,7e8d1991-7b68-4d8b-84c7-9e9a09568f57,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,True,power,3,False,1,False,epochwise,cls_token,,0.5,,,,,,0.992451548576355,0.996060073375702,0.9343591928482056,0.949281632900238,0.3588142991065979,0.7763182520866394,0.8230136632919312,0.6915068626403809,0.6965090036392212,0.6369457244873047,19759.533477645,865,1753871115.0311286,172,2.724836895290806e-07,50689,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,,
