run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389291.99248-f729f585-1241,dinov2_pretrained_flair_2025-07-27_22-06-37,finished,2025-07-27T10:15:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246389291.99248-f729f585-1241,,9f4cbaa4-49ef-4d47-b429-e425eddf1216,t-jiachentu,False,0,Classification,300.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,age_group,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.8672301769256592,0.8819811344146729,0.5873016119003296,0.4861486554145813,0.7030506134033203,0.506350040435791,0.5,0.5,0.35120147466659546,NaN,0.5191721320152283,0.5,0.5,0.3499999940395355,NaN,56985.0,3312.0,1753677037.030951,300.0,3.1471622649714703e-10,105300.0,,,,,,,,,
7246388571.39694-9b6f2701-d81f,brainiac_pretrained_flair_2025-07-27_11-44-58,finished,2025-07-27T11:25:51Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246388571.39694-9b6f2701-d81f,,b4069228-5cff-4a85-b3ab-ced9200bbd6f,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.8468565940856934,0.8403880596160889,0.7023809552192688,0.6904761791229248,0.7534548044204712,0.9600361585617064,0.9604772329330444,0.8948348760604858,0.8962833881378174,0.4609984457492829,0.8190979957580566,0.8277484178543091,0.6785714030265808,0.6417636275291443,0.943644881248474,17221.0,1500.0,1753633647.962219,300.0,3.1471622649714703e-10,26400.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246387843.11535-9d04751e-898e,mri_core_pretrained_flair_2025-07-29_05-36-03,finished,2025-07-27T11:34:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246387843.11535-9d04751e-898e,,2d425e62-46f5-4b91-ad41-2275bc0dddec,t-jiachentu,False,0,Classification,300.0,False,mri_core_finetune,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,mean,False,False,age_group,True,power,3.0,False,1.0,False,epochwise,mean,,0.5,0.8870460391044617,0.8900646567344666,0.8002645969390869,0.8013288974761963,0.5399014949798584,0.9996403455734252,0.99964040517807,0.9880516529083252,0.9885144233703612,0.3436194658279419,0.8583104610443115,0.8578777313232422,0.7989417910575867,0.8005632162094116,0.5655120015144348,190619.0,3734.0,1753843774.4880147,300.0,3.1471622649714703e-10,105300.0,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246388925.04186-bfa7252f-b413,brainmvp_pretrained_flair_2025-07-27_11-44-55,finished,2025-07-27T11:45:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246388925.04186-bfa7252f-b413,,c9c9138a-aa89-434b-8743-a5cbbeb2e0c8,t-jiachentu,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.5595631003379822,0.5521751642227173,0.4986772537231446,0.32899409532546997,0.6947633028030396,0.7503113150596619,0.7570774555206299,0.6751879453659058,0.675500750541687,0.6258119940757751,0.6033599376678467,0.5953850746154785,0.5158730149269104,0.3502958416938782,0.9172961711883544,12790.0,1500.0,1753629508.0267377,300.0,3.1471622649714703e-10,13200.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246388202.36595-90e2e649-44b9,brainiac_scratch_flair_2025-07-27_15-18-41,crashed,2025-07-27T12:05:08Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246388202.36595-90e2e649-44b9,,de6aee75-bc54-42f5-97d1-0a09aa6aecee,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,,,,,,0.4907149076461792,0.4713631868362427,0.5,0.35120147466659546,0.6915615797042847,0.48430970311164856,0.453409731388092,0.4920634925365448,0.3463687002658844,0.6925134062767029,7820.291882297,469.0,1753629213.1758084,6.0,3.3333333333333337e-06,615.0,0.2,,,,,,,,
7246387482.18946-56423121-2ca0,resenc_pretrained_flair_2025-07-27_19-07-55,crashed,2025-07-27T12:34:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246387482.18946-56423121-2ca0,,0f8dd0be-76b3-4bae-8df4-fc1dc285a542,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,True,power,3.0,False,1.0,True,epochwise,,,0.2,,,,,,0.5449669361114502,0.5450310707092285,0.4995259940624237,0.3189338445663452,0.6934479475021362,0.675485372543335,0.6687242984771729,0.5013227462768555,0.3661717474460602,0.6919830441474915,16771.195958892,1280.0,1753642089.881611,2.0,1.4285714285714286e-06,131.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246386760.90604-18d4313f-2348,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_13-59-53,finished,2025-07-27T12:35:31Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246386760.90604-18d4313f-2348,,47d160a3-1c4b-444f-8676-10b6c8b95be6,t-jiachentu,False,0,Classification,300.0,False,TimeConditionedResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.8845163583755493,0.8780128955841064,0.7645502686500549,0.7658786177635193,0.5552010536193848,0.99884694814682,0.9988231658935548,0.9827885031700134,0.9827885031700134,0.3468937575817108,0.8177094459533691,0.8271604776382446,0.7883597612380981,0.7860747575759888,0.6678542494773865,24202.0,1664.0,1753645834.3934326,300.0,3.1471622649714703e-10,13200.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,
7246387124.45932-9466c9e8-8003,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_14-24-55,crashed,2025-07-27T12:54:43Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246387124.45932-9466c9e8-8003,,443d7150-ee43-4d76-98aa-acc2233fe2a4,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246221553.69980-37b45779-62b9,resenc_time_conditioned_pretrained_flair_2025-07-29_08-53-23,finished,2025-07-29T08:54:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246221553.69980-37b45779-62b9,,4002d6b5-f9f3-4518-87a5-375eb43ccc5a,t-jiachentu,False,0,Classification,300.0,False,ResEncTimeConditioned,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,4.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,True,power,3.0,False,1.0,True,epochwise,cls_token,,0.5,0.8452881574630737,0.8482861518859863,0.7988077402114868,0.7921147346496582,0.5699494481086731,0.9989126324653624,0.9989079236984252,0.9794269800186156,0.9800732135772704,0.3481888771057129,0.7584559917449951,0.7866666316986084,0.7531746029853821,0.7428483366966248,0.6887314915657043,37086.0,1500.0,1753816327.305196,300.0,3.1471622649714703e-10,26700.0,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150789.46155-bc48fd4f-5dda,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-34-40,finished,2025-07-30T04:35:15Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_flair/runs/7246150789.46155-bc48fd4f-5dda,,fd6e9180-5f7a-406c-95e3-c5cd7bdf80a2,t-jiachentu,False,0,Classification,200.0,False,ResEncoder_Classifier,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,3.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,age_group,True,power,3.0,False,1.0,False,epochwise,,,0.2,0.8410657644271851,0.8447093963623047,0.7806259393692017,0.7752608060836792,0.5896949768066406,0.9814436435699464,0.9824944734573364,0.9575852155685424,0.9573792219161988,0.3877822458744049,0.7207964658737183,0.743492066860199,0.6595238447189331,0.6624265909194946,0.7299328446388245,23824.0,1000.0,1753873939.029094,200.0,3.8076210902182607e-10,70800.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
