run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_image_size,config_slice_aggregation,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246388992.99764-a42dfa83-dd7c,brainmvp_pretrained_t2_2025-07-27_10-20-06,finished,2025-07-27T10:20:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246388992.99764-a42dfa83-dd7c,,c463f053-8aa9-409c-86a5-2a9e414ae7ff,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7599091529846191,0.7729277014732361,0.5,0.31578946113586426,1.5593481063842771,0.8928742408752441,0.8993134498596191,0.8173586130142212,0.8167340755462646,0.5252394676208496,0.5950452089309692,0.5964138507843018,0.5,0.31578946113586426,1.2751437425613403,22365.0,1500,1753633988.5056612,300,3.1471622649714703e-10,26400,,,,,,,,
7246388630.78821-0bd7e806-df8b,brainiac_pretrained_t2_2025-07-27_10-20-27,finished,2025-07-27T10:20:47Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246388630.78821-0bd7e806-df8b,,d35ac533-21bc-4c5f-ad3b-6a34b09794eb,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.7972931265830994,0.8215755224227905,0.7314814925193787,0.7138515710830688,0.7452431917190552,0.9907282590866088,0.9906831979751588,0.948839545249939,0.9484126567840576,0.4035732746124267,0.794750452041626,0.8012933731079102,0.7420635223388672,0.7347326874732971,0.723883867263794,58583.0,1500,1753670229.556561,300,3.1471622649714703e-10,26400,,,,,,,,
7246388260.66057-402247e1-a182,brainiac_scratch_t2_2025-07-27_10-31-57,finished,2025-07-27T10:32:17Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246388260.66057-402247e1-a182,,77a5c94d-0560-4787-bfae-c6fd42a9a08a,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,0.2,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.8795885443687439,0.8868312835693359,0.771164059638977,0.7729851007461548,0.5736276507377625,0.9272962808609008,0.9295030832290648,0.8465185165405273,0.8454903960227966,0.4903169870376587,0.8275545835494995,0.8264256119728088,0.7208994626998901,0.7219251394271851,0.6386991143226624,57216.0,1500,1753669554.7105222,300,3.1471622649714703e-10,26400,,,,,,,,
7246387905.43324-9cafbd97-4329,mri_core_pretrained_t2_2025-07-27_10-40-03,finished,2025-07-27T10:40:21Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246387905.43324-9cafbd97-4329,,f5a62b5c-6c4b-4c3f-a3f1-2941c78b5a04,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,mean,,0.5,0.8982611298561096,0.8988829851150513,0.8227513432502747,0.8203027844429016,0.5273914933204651,0.999967098236084,0.9999673366546632,0.9937888383865356,0.9942572116851808,0.3363880217075348,0.8512884974479675,0.8518518209457397,0.7433862686157227,0.7446760535240173,0.5858306884765625,100977.0,1500,1753713797.403216,300,3.1471622649714703e-10,105300,224.0,mean,,,,,,
7246387191.33297-d8b1d623-7c67,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-27_10-44-22,finished,2025-07-27T10:44:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246387191.33297-d8b1d623-7c67,,5dce0321-ebcd-4370-a09d-5fc04e0dfa1a,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,,,0.2,0.823792040348053,0.8442093133926392,0.6574074029922485,0.6471428871154785,0.6758061647415161,0.9986911416053772,0.9986923933029176,0.9854201078414916,0.9856501817703248,0.35113582015037537,0.7698591351509094,0.788212776184082,0.6957671642303467,0.6965093016624451,0.7337736487388611,41114.0,1500,1753654207.5113697,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246386827.15717-976a7c55-aa3b,resenc_tc_time_conditioned_pretrained_t2_2025-07-27_10-57-22,finished,2025-07-27T10:57:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246386827.15717-976a7c55-aa3b,,a168619d-a8d1-41ef-be9f-f5ddc34dcd8a,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,,8,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,,,0.2,0.8388223648071289,0.859641432762146,0.8108465671539307,0.8031887412071228,0.5750629901885986,0.9983681440353394,0.9983001351356506,0.9880516529083252,0.9885144233703612,0.34423160552978516,0.6673504114151001,0.7141387462615967,0.6785714626312256,0.6791669726371765,0.8160946369171143,39747.0,1500,1753653607.962059,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,256.0,64.0,,,
7246221566.72887-f2bd6180-e1ec,resenc_time_conditioned_pretrained_t2_2025-07-29_08-53-00,finished,2025-07-29T08:53:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246221566.72887-f2bd6180-e1ec,,e194cb42-488d-44b7-a5ce-aee56f7721b4,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,,4,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.8954434394836426,0.9001489877700806,0.7944858074188232,0.7950057983398438,0.542341411113739,0.9977259635925292,0.9976552724838256,0.9798766374588012,0.9800924062728882,0.35466498136520386,0.7907582521438599,0.8260316848754883,0.7222222089767456,0.7239116430282593,0.670353889465332,36713.0,1500,1753815927.9828954,300,3.1471622649714703e-10,26700,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150815.59881-df928031-6037,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_04-30-26,finished,2025-07-30T04:31:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246150815.59881-df928031-6037,,364cb7f6-c5fc-499f-a697-223d2cc4187c,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,,,0.2,0.8729162216186523,0.880774974822998,0.83442622423172,0.8352149724960327,0.538711667060852,0.9829559326171876,0.9854816198349,0.958034873008728,0.9574147462844848,0.3921898901462555,0.7724970579147339,0.779365062713623,0.7007936239242554,0.6999763250350952,0.7191191911697388,23776.0,1000,1753873638.860929,200,3.8076210902182607e-10,70800,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246148848.66742-135fca3e-2122,resenc_time_conditioned_pretrained_t2_2025-07-30_04-58-16,crashed,2025-07-30T04:58:52Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246148848.66742-135fca3e-2122,,bb04e5a3-96de-42c7-8c8b-34b450d7c68c,t-jiachentu,False,0,Classification,200,False,ResEncTimeConditioned,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,cls_token,,0.5,,,,,,0.9793545007705688,0.9787684679031372,0.9330452680587769,0.9343868494033812,0.4039112329483032,0.8532587289810181,0.8523809909820557,0.7563492059707642,0.7496890425682068,0.6520320177078247,19564.591078482,730,1753871099.1047368,145,1.030536869268818e-06,51684,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246127942.46908-a7755045-e689,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-07-30_10-46-07,finished,2025-07-30T10:46:43Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_age_group_single_t2/runs/7246127942.46908-a7755045-e689,,ccdd1a52-26a8-4384-abfd-4cc0c7336ddc,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,,2,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,,1,False,batchgenerators.get_training_transforms,10,False,False,age_group,True,power,3,False,1,False,epochwise,,,0.2,0.8729162216186523,0.880774974822998,0.83442622423172,0.8352149724960327,0.538711667060852,0.9829559326171876,0.9854816198349,0.958034873008728,0.9574147462844848,0.3921898901462555,0.7724970579147339,0.779365062713623,0.7007936239242554,0.6999763250350952,0.7191191911697388,23700.0,1000,1753896097.3369546,200,3.8076210902182607e-10,70800,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
