run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_chpt_path,config_image_size,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246389244.18151-b9c3117b-4c74,dinov2_pretrained_flair_2025-07-27_19-05-33,finished,2025-07-27T10:15:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246389244.18151-b9c3117b-4c74,,26ab977c-42bd-4aff-b498-adfe2c20fd45,t-jiachentu,False,0,Classification,300,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10,mean,False,False,gtr_status,True,power,3,False,1,False,epochwise,mean,True,0.5,0.5465011596679688,0.5339673757553101,0.5,0.3709677457809448,0.6822956800460815,0.5085382461547852,0.5,0.5,0.2880324423313141,NaN,0.5190973281860352,0.5,0.5,0.290909081697464,NaN,42864.0,2297,1753668710.162834,300,3.1471622649714703e-10,105300,,,,,,,,,
7246388524.73886-223ad8ca-be0c,brainiac_pretrained_flair_2025-07-27_12-45-58,finished,2025-07-27T11:26:02Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246388524.73886-223ad8ca-be0c,,05dca32b-e7bd-416e-a7e5-457c55368291,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5480690598487854,0.5486111640930176,0.5176630616188049,0.5151301622390747,0.879779577255249,0.8080718517303467,0.8192601203918457,0.7414751648902893,0.7457749843597412,0.5828047394752502,0.5439867973327637,0.5416666269302368,0.5683876872062683,0.5631493330001831,0.9179586172103882,20272.0,1721,1753637184.610615,300,3.1471622649714703e-10,26400,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388877.57852-2538819a-3dc4,brainmvp_pretrained_flair_2025-07-27_12-49-57,finished,2025-07-27T11:26:07Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246388877.57852-2538819a-3dc4,,770a49e6-c20a-4592-a80b-6efb22684c44,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5953370332717896,0.5964673757553101,0.5,0.290909081697464,0.7303443551063538,0.7021108865737915,0.717164158821106,0.6319159269332886,0.6334689855575562,0.6345229148864746,0.45608043670654297,0.4414251446723938,0.4846014380455017,0.48434650897979736,0.7530109286308289,14516.0,1799,1753631774.639975,300,3.1471622649714703e-10,13200,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246388155.18440-2d0d5ab5-94ba,brainiac_scratch_flair_2025-07-27_21-58-42,finished,2025-07-27T11:40:26Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246388155.18440-2d0d5ab5-94ba,,a9ab0665-8ace-4385-bc95-1db5e98ddfec,t-jiachentu,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,False,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,True,0.0,0.5537700653076172,0.5785024166107178,0.510869562625885,0.4724026024341583,0.7202348113059998,0.6780482530593872,0.6838399171829224,0.6169721484184265,0.6153846383094788,0.6489381790161133,0.5608700513839722,0.5640096664428711,0.561141312122345,0.5562818050384521,0.7612443566322327,44034.0,3546,1753670117.4511175,300,3.1471622649714703e-10,26400,0.2,,,,,,,,
7246387433.33825-aba8a23f-051a,resenc_pretrained_flair_2025-07-27_19-08-42,finished,2025-07-27T12:21:42Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246387433.33825-aba8a23f-051a,,73ee4675-9934-4c6a-8338-7c534b387f9c,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,,,0.2,0.5425034165382385,0.5546497106552124,0.5,0.3709677457809448,0.6808180809020996,0.978493332862854,0.9809454679489136,0.956213355064392,0.9556986093521118,0.40211915969848633,0.534473717212677,0.5232487916946411,0.5289855003356934,0.5238969326019287,0.8251467943191528,29347.0,2341,1753660578.6227858,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,
7246387795.56604-b88c8233-b85a,mri_core_pretrained_flair_2025-07-27_13-59-32,finished,2025-07-27T12:28:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246387795.56604-b88c8233-b85a,,9a646538-7852-4226-bc7a-6e48182e8d43,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,mean,False,False,gtr_status,True,power,3,False,1,False,epochwise,mean,,0.5,0.5793817639350891,0.5836352705955505,0.5,0.3709677457809448,0.70673668384552,0.6552950143814087,0.6592425107955933,0.6103342771530151,0.603126049041748,0.6550630927085876,0.508468747138977,0.49728262424468994,0.4882246255874634,0.4663851261138916,0.7004324197769165,79955.0,1572,1753700632.325455,300,3.1471622649714703e-10,105300,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,,224.0,,,,,
7246386712.83516-742f8492-69c6,resenc_tc_time_conditioned_pretrained_flair_2025-07-27_12-40-56,finished,2025-07-27T12:41:19Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246386712.83516-742f8492-69c6,,71c2dfc8-3f0e-49fa-ad17-e9ea608cda4a,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,,,0.2,0.5723008513450623,0.5833333134651184,0.5,0.3709677457809448,0.7416597604751587,0.9869694709777832,0.9880720376968384,0.9267807602882384,0.9287068843841552,0.3962307572364807,0.5433623790740967,0.5416666269302368,0.5688406229019165,0.5685905814170837,0.9467665553092957,17601.0,1500,1753637681.3117046,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,256.0,64.0,,,
7246387075.50999-4bb26362-8c4e,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-27_12-45-26,finished,2025-07-27T12:45:59Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246387075.50999-4bb26362-8c4e,,13151b59-3f26-4934-9b52-8ae6422ea621,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,,,0.2,0.5266398191452026,0.4981884062290192,0.5,0.3709677457809448,0.6832816004753113,0.988448977470398,0.9889817237854004,0.9442516565322876,0.941245436668396,0.3957524001598358,0.5415941476821899,0.5341183543205261,0.5335144996643066,0.5333734750747681,1.0020114183425903,17160.0,1500,1753637519.9265685,300,3.1471622649714703e-10,13200,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
7246221445.95623-3dc5294b-62a5,resenc_time_conditioned_pretrained_flair_2025-07-29_08-59-30,finished,2025-07-29T09:00:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246221445.95623-3dc5294b-62a5,,341a0531-3db0-45bc-9b43-7a5b294c0549,t-jiachentu,False,0,Classification,300,False,ResEncTimeConditioned,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,4,False,300,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,4,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,True,epochwise,cls_token,,0.5,0.5762959718704224,0.5621383190155029,0.516143798828125,0.40250182151794434,0.7679252624511719,0.7794584035873413,0.7849991321563721,0.6864115595817566,0.6992052793502808,0.579414427280426,0.5725775957107544,0.5714285373687744,0.5444139242172241,0.5311480760574341,0.7357529997825623,36995.0,1500,1753816602.3805494,300,3.1471622649714703e-10,26700,,,,,256.0,64.0,0.5,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
7246150533.29336-513dcc74-6523,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-07-30_04-36-04,finished,2025-07-30T04:36:50Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_gtr_status_single_flair/runs/7246150533.29336-513dcc74-6523,,f4ba5425-cdb6-4f2c-9335-8f8978fefb10,t-jiachentu,False,0,Classification,200,False,ResEncoder_Classifier,200,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,200,True,True,0,gpu,0.2,2,16,val,False,3,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-06,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,,10,,False,False,gtr_status,True,power,3,False,1,False,epochwise,,,0.2,0.4878499507904053,0.4498933553695678,0.5,0.2969697117805481,0.8239297270774841,0.7998950481414795,0.8176649808883667,0.7262470722198486,0.7386351823806763,0.568915843963623,0.5730829238891602,0.5470085144042969,0.5444139242172241,0.5311480760574341,0.7665878534317017,23846.0,1000,1753874051.7441206,200,3.8076210902182607e-10,70800,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,,
