run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_dinov2_model_name,config_log_every_n_steps,config_slice_aggregation,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_image_size,config_chpt_path,config_time_dim,config_learned_sinusoidal_dim,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246390344.97868-753c2783-00c2,dinov2_pretrained_t1gd_2025-07-27_09-58-33,finished,2025-07-27T09:58:56Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246390344.97868-753c2783-00c2,,a0037434-43c8-423b-93b1-a24935be5e90,t-jiachentu,False,0,Classification,300.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh1_status,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.6131062507629395,0.7003968358039856,0.5,0.4507042169570923,0.5677924156188965,0.5050565600395203,0.5,0.5,0.14805825054645538,NaN,0.5172052979469299,0.5,0.5,0.15217390656471252,NaN,41433.0,1500.0,1753651766.3689692,300.0,3.1471622649714703e-10,105300.0,,,,,,,,,
7246389929.54754-75f83f24-1b88,brainmvp_pretrained_t1gd_2025-07-27_09-59-40,crashed,2025-07-27T10:00:00Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246389929.54754-75f83f24-1b88,,0d9c408e-0a09-49aa-99b2-08766f30ca84,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246389551.85618-b7140a31-d08b,brainiac_pretrained_t1gd_2025-07-27_10-11-27,finished,2025-07-27T10:11:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246389551.85618-b7140a31-d08b,,85dc31b7-9d0c-4417-b36b-e239fba026e1,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.6074488162994385,0.7028769850730896,0.5,0.4507042169570923,0.726418673992157,0.8891686201095581,0.9204069972038268,0.7748162746429443,0.8122599124908447,0.4466037452220917,0.5932557582855225,0.5997023582458496,0.539434552192688,0.5186128616333008,0.767812967300415,57125.0,1500.0,1753668232.7228367,300.0,3.1471622649714703e-10,26400.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246388832.23697-c1ba0e51-fbd5,mri_core_pretrained_t1gd_2025-07-27_10-17-14,finished,2025-07-27T10:17:33Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246388832.23697-c1ba0e51-fbd5,,f22a8e57-443d-4c1b-baf1-1529755a4096,t-jiachentu,False,0,Classification,300.0,False,mri_core_finetune,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,,10.0,mean,False,False,idh1_status,True,power,3.0,False,1.0,False,epochwise,mean,,0.5,0.5797481536865234,0.6364086866378784,0.5,0.4507042169570923,0.640405535697937,0.9957715272903442,0.997993230819702,0.9555680751800536,0.9645848274230956,0.3476223051548004,0.6389498114585876,0.6996527910232544,0.5639880895614624,0.5723819732666016,0.5641453266143799,99597.0,1500.0,1753711049.5937283,300.0,3.1471622649714703e-10,105300.0,,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,224.0,,,,,,
7246388481.91989-af95dd61-70d8,resenc_pretrained_t1gd_2025-07-27_10-29-29,finished,2025-07-27T10:29:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246388481.91989-af95dd61-70d8,,a4d1e6ef-7d8a-4000-802d-0c41c20c099b,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.6356439590454102,0.6870039701461792,0.6674107313156128,0.6769230961799622,0.538115382194519,0.9690281748771667,0.9706048965454102,0.9426229596138,0.9636026620864868,0.36879613995552063,0.6270098686218262,0.6738591194152832,0.5773809552192688,0.5870588421821594,0.5918126702308655,34955.0,1500.0,1753647152.6019895,300.0,3.1471622649714703e-10,13200.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
7246388118.07912-b1d532fd-8231,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-07-27_10-36-18,finished,2025-07-27T10:36:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246388118.07912-b1d532fd-8231,,d54ab8af-527a-4701-9e88-2144af98dfff,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.6158796548843384,0.6748511791229248,0.5,0.4507042169570923,0.5598686933517456,0.9690455198287964,0.9730356335639954,0.9145845174789428,0.937164306640625,0.3773350417613983,0.5554046630859375,0.5084325075149536,0.4985119104385376,0.4973147213459015,0.7120610475540161,36667.0,1500.0,1753649275.9496076,300.0,3.1471622649714703e-10,13200.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,,,,
7246334444.90679-dc705124-ecdf,dinov2_pretrained_t1gd_2025-07-28_01-23-58,finished,2025-07-28T01:24:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246334444.90679-dc705124-ecdf,,402f5546-b7a1-4243-b330-efb93a871aea,t-jiachentu,False,0,Classification,300.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,facebook/dinov2-base,10.0,mean,False,False,idh1_status,True,power,3.0,False,1.0,False,epochwise,mean,True,0.5,0.5951813459396362,0.6884920597076416,0.5,0.4507042169570923,0.5529766082763672,0.5050565600395203,0.5,0.5,0.14805825054645538,NaN,0.5172052979469299,0.5,0.5,0.15217390656471252,NaN,41152.0,1500.0,1753707012.596337,300.0,3.1471622649714703e-10,105300.0,,,,,,,,,
7246334072.18099-65f068f4-4746,brainmvp_pretrained_t1gd_2025-07-28_01-29-45,finished,2025-07-28T01:30:04Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246334072.18099-65f068f4-4746,,4ae9e240-c37b-4b7d-b646-bffb12c51e59,t-jiachentu,False,0,Classification,300.0,False,brainmvp,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.70287024974823,0.7447916269302368,0.5,0.4507042169570923,0.5397223234176636,0.7084543108940125,0.8052289485931396,0.5323629379272461,0.5220865607261658,0.5067216753959656,0.493253618478775,0.4732142984867096,0.5,0.4507042169570923,0.5896028280258179,23249.0,1500.0,1753689452.333736,300.0,3.1471622649714703e-10,26400.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,,,,,,,
7246333702.14186-f9347bcd-f935,brainiac_pretrained_t1gd_2025-07-28_01-36-13,finished,2025-07-28T01:36:36Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246333702.14186-f9347bcd-f935,,d1dcad0e-cce8-4368-958f-47aed2491c61,t-jiachentu,False,0,Classification,300.0,False,brainiac,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,True,power,3.0,False,1.0,True,epochwise,cls_token,True,0.0,0.6172997355461121,0.6959325075149536,0.5,0.4507042169570923,0.571150541305542,0.8853771686553955,0.9305257201194764,0.7666195631027222,0.8050000071525574,0.4469131529331207,0.5500925183296204,0.5915178656578064,0.5364583134651184,0.5243406891822815,0.7443050742149353,49812.0,1500.0,1753716402.8854823,300.0,3.1471622649714703e-10,26400.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,,,,,,,
7246332594.29303-8e417a13-f102,resenc_pretrained_t1gd_2025-07-28_01-54-37,finished,2025-07-28T01:55:06Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_idh1_status_single_t1gd/runs/7246332594.29303-8e417a13-f102,,7f857985-3c84-4740-9d93-72098b138cea,t-jiachentu,False,0,Classification,300.0,False,ResEncoder_Classifier,300.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,300.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,,10.0,,False,False,idh1_status,True,power,3.0,False,1.0,True,epochwise,,,0.2,0.6356439590454102,0.6870039701461792,0.6674107313156128,0.6769230961799622,0.538115382194519,0.9690281748771667,0.9706048965454102,0.9426229596138,0.9636026620864868,0.36879613995552063,0.6270098686218262,0.6738591194152832,0.5773809552192688,0.5870588421821594,0.5918126702308655,35453.0,1500.0,1753703160.03672,300.0,3.1471622649714703e-10,13200.0,,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,
