run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_learned_sinusoidal_dim,config_image_size,config_pretrained_path,config_slice_aggregation,config_token_aggregation_method,config_dropout_prob,config_use_brainiac_preprocessing,config_dinov2_model_name,config_dropout_rate,config_freeze_encoder,config_pretrained_encoder_path
7246478976.81071-4913542f-a122,resenc_pretrained_t1_2025-07-26_10-10-46,finished,2025-07-26T09:18:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246478976.81071-4913542f-a122,,cd905deb-3af3-4dfa-b389-8d907f39dcfb,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.6203161478042603,0.6177548170089722,0.5,0.4030612111091614,0.6519867777824402,0.548128604888916,0.5484409332275391,0.5,0.40102389454841614,0.6548048853874207,0.6002766489982605,0.602598249912262,0.5,0.4030612111091614,0.6522079110145569,8223.0,711,1753530591.009043,100,3.854818796385494e-08,4400,,,,,,,,,,,,
7246478558.13569-1e3dc9d8-64cd,resenc_tc_time_conditioned_pretrained_t1_2025-07-26_09-25-20,finished,2025-07-26T09:25:43Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246478558.13569-1e3dc9d8-64cd,,ee33bc22-7231-48d1-b90d-d3e4b8400c70,t-jiachentu,False,0,Classification,100,False,TimeConditionedResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.5883460640907288,0.5837775468826294,0.5063291192054749,0.25925323367118835,0.7006365060806274,0.5608856678009033,0.5748165845870972,0.5151687264442444,0.441706657409668,0.6521523594856262,0.47837114334106445,0.439373791217804,0.5,0.4030612111091614,0.6606877446174622,5891.0,500,1753527834.213249,100,3.854818796385494e-08,4400,256.0,64.0,,,,,,,,,,
7246478700.20585-b9e0aa57-2022,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-26_09-25-21,finished,2025-07-26T09:25:46Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246478700.20585-b9e0aa57-2022,,e7159e26-a0eb-4696-a5a6-cf16051bfc8f,t-jiachentu,False,0,Classification,100,False,ResEncoderMultiModal_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.6150607466697693,0.6274150609970093,0.5,0.4030612111091614,0.6451171636581421,0.5822950601577759,0.5928466320037842,0.5174614787101746,0.4588516652584076,0.6490296125411987,0.6856603026390076,0.7005329728126526,0.5,0.4030612111091614,0.6294313073158264,6001.0,500,1753527948.02958,100,3.854818796385494e-08,4400,,,,,,,,,,,,
7246478838.76074-d7442d5d-329d,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-26_09-33-12,finished,2025-07-26T09:33:45Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246478838.76074-d7442d5d-329d,,6ca8e34c-1b8b-4ede-8a78-09f51d376b03,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.6150607466697693,0.6274150609970093,0.5,0.4030612111091614,0.6451171636581421,0.5822950601577759,0.5928466320037842,0.5174614787101746,0.4588516652584076,0.6490296125411987,0.6856603026390076,0.7005329728126526,0.5,0.4030612111091614,0.6294313073158264,6081.0,500,1753528506.7810142,100,3.854818796385494e-08,4400,,,,,,,,,,,,
7246421465.23747-4510716e-4ea3,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-07-27_01-13-02,finished,2025-07-27T01:13:23Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246421465.23747-4510716e-4ea3,,2a68d6eb-22db-4fc4-a801-27398cef2eaf,t-jiachentu,False,0,Classification,300,False,ResEncoderMultiModal_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.5033831596374512,0.4910060167312622,0.5063291192054749,0.25925323367118835,0.7241227626800537,0.8985239863395691,0.9043653607368468,0.8216984272003174,0.8287162184715271,0.5019471049308777,0.676988422870636,0.7065289616584778,0.6555629968643188,0.6566038131713867,0.6852859258651733,34901.0,1500,1753613702.7687078,300,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246421270.53904-188bd17f-19f8,resenc_tc_time_conditioned_pretrained_t1_2025-07-27_01-15-55,finished,2025-07-27T01:16:16Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246421270.53904-188bd17f-19f8,,d402b77a-496d-4784-a80e-0268205b5266,t-jiachentu,False,0,Classification,300,False,TimeConditionedResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset001_BrainMVP/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.5439720749855042,0.5329780578613281,0.5,0.4030612111091614,0.6521857380867004,0.9524374008178712,0.9544386863708496,0.877457857131958,0.8874576091766357,0.4458966851234436,0.6239319443702698,0.625916063785553,0.569786787033081,0.5712753534317017,0.7638886570930481,35342.0,1500,1753614317.4883769,300,3.1471622649714703e-10,13200,256.0,64.0,,,,,,,,,,
7246421912.45435-3f3629bf-08f9,resenc_pretrained_t1_2025-07-27_01-17-07,finished,2025-07-27T01:18:09Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246421912.45435-3f3629bf-08f9,,1a968f71-3725-4566-aaa0-13a1a2442ae9,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.5449019074440002,0.5641239285469055,0.4883410930633545,0.4317761361598969,0.6533307433128357,0.7998077869415283,0.8162325620651245,0.7483125329017639,0.7650579214096069,0.574860155582428,0.6089885234832764,0.6292471885681152,0.5113257765769958,0.5085351467132568,0.668618381023407,28500.0,1500,1753607589.0176127,300,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246421674.33759-f053ee63-2bea,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-07-27_01-20-35,finished,2025-07-27T01:21:41Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246421674.33759-f053ee63-2bea,,18c88799-3c14-4e2e-9745-142951c48407,t-jiachentu,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,True,epochwise,0.2,0.5253604650497437,0.5096602439880371,0.5199866890907288,0.45292556285858154,0.6749563813209534,0.9852844476699828,0.9859867691993712,0.9440755844116212,0.950943410396576,0.3903445899486542,0.6821713447570801,0.7175216674804688,0.5892738103866577,0.5921887755393982,0.7356087565422058,28682.0,1500,1753607981.4361856,300,3.1471622649714703e-10,13200,,,,,,,,,,,,
7246407709.22510-d888c2a4-d08c,mri_core_frozen_t1_2025-07-27_05-07-38,finished,2025-07-27T05:07:57Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246407709.22510-d888c2a4-d08c,,2976e373-ca8b-4d53-8b43-b5107d9dd0e2,t-jiachentu,False,0,Classification,300,False,mri_core_frozen,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,linear_probing,True,0.2,8,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,False,epochwise,0.5,0.5181471109390259,0.5211526155471802,0.5,0.4030612111091614,0.6535292267799377,0.4833261966705322,0.4596478343009949,0.48789435625076294,0.4527876079082489,0.6925249695777893,0.5804341435432434,0.6125916242599487,0.5,0.4030612111091614,0.6498076319694519,51949.0,1500,1753644828.199957,300,3.1471622649714703e-10,13200,,,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,
7246407530.62905-c9b9c882-c83c,mri_core_pretrained_t1_2025-07-27_05-11-28,finished,2025-07-27T05:11:48Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_upenn_gbm_survival_18month_single_t1/runs/7246407530.62905-c9b9c882-c83c,,a6c7cb24-5a5d-4e30-871a-ae635786d0df,t-jiachentu,False,0,Classification,300,False,mri_core_finetune,50,False,1,multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,1e-05,1,False,0,True,False,full,False,0.2,1,False,batchgenerators.get_training_transforms,10,False,False,survival_18month,True,power,3,False,1,False,epochwise,0.5,0.5612534880638123,0.5632911324501038,0.5,0.4030612111091614,0.6510952711105347,0.9726260900497437,0.9790902137756348,0.9053375124931335,0.9170424938201904,0.42218729853630066,0.6272338628768921,0.6244170665740967,0.556628942489624,0.5568181872367859,0.6983293294906616,101744.0,1500,1753694848.5658672,300,3.1471622649714703e-10,105300,,,224.0,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/mri_core/mri_core_checkpoint.pth,mean,mean,,,,,,
