run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_name,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_metrics,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_input_shape,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_train_acc_epoch,metric_train_acc_step,metric_train_loss_epoch,metric_train_loss_step,metric_trainer/global_step,metric_val_acc,metric_val_loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric_lr-SGD
i77jcr1b,brainiac_pretrained_t1c_2025-06-24_00-25-04,finished,2025-06-24T00:25:13Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/i77jcr1b,,fc32a59d-1a7a-4e73-8082-6f424cc068e7,t-jiachentu,0.001,False,0,BrainIACModel,Classification,5,False,BrainIACModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,True,0,2,5,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,2,epochwise,cls_token,True,0,68.216771125,29.0,1750724781.522714,4.0,1.0453658778440104e-05,0.800000011920929,1.0,0.7799400091171265,0.19914551079273224,14.0,0.6000000238418579,1.240595817565918,,,,,,,,,,,
vnh2uye9,brainiac_pretrained_t1c_2025-06-24_00-27-19,finished,2025-06-24T00:27:29Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/vnh2uye9,,230a2b9a-86d8-4cc7-a650-97818fae0844,t-jiachentu,0.001,False,0,BrainIACModel,Classification,5,False,BrainIACModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,True,0,2,5,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,2,epochwise,cls_token,True,0,104.947226859,29.0,1750724953.8329885,4.0,1.0453658778440104e-05,0.800000011920929,1.0,0.8127768635749817,0.2027912139892578,14.0,0.6000000238418579,1.2566332817077637,,,,,,,,,,,
09t8urvo,brainiac_pretrained_t1c_2025-06-24_00-31-30,finished,2025-06-24T00:31:38Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/09t8urvo,,723f1184-5405-4e67-a315-604e00003bce,t-jiachentu,0.001,False,0,BrainIACModel,Classification,5,False,BrainIACModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,True,0,2,5,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,2,epochwise,cls_token,True,0,64.968461041,29.0,1750725163.1497223,4.0,1.0453658778440104e-05,0.800000011920929,1.0,0.7698426246643066,0.2001014798879623,14.0,0.6000000238418579,1.1981685161590576,,,,,,,,,,,
u28gb8ek,brainiac_pretrained_t1c_2025-06-24_05-07-36,finished,2025-06-24T05:07:44Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/u28gb8ek,,c81f3238-5868-4c8e-a5ec-edd138ae2ade,t-jiachentu,0.001,False,0,BrainIACModel,Classification,5,False,BrainIACModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,True,0,2,5,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,2,epochwise,cls_token,True,0,64.194704066,29.0,1750741728.5424037,4.0,1.0453658778440104e-05,0.800000011920929,1.0,0.7585787773132324,0.19979476928710935,14.0,0.6000000238418579,1.2429773807525637,,,,,,,,,,,
pvlya9iz,brainiac_pretrained_t1c_2025-06-24_05-11-32,failed,2025-06-24T05:11:41Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/pvlya9iz,,d1e52b80-d9e6-4d1a-adca-a058127690c6,t-jiachentu,0.001,False,0,BrainIACModel,Classification,200,False,BrainIACModel,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,2,200,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,1,epochwise,cls_token,True,0,2706.938255696,18148.0,1750744607.8981922,120.0,3.5203658778440126e-05,0.9419795274734496,1.0,0.33322083950042725,0.19855499267578125,17786.0,0.8775510191917419,0.4614789485931397,,,,,,,,,,,
ha7omgtd,brainiac_pretrained_t1c_2025-06-24_05-19-53,finished,2025-06-24T05:20:02Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/ha7omgtd,,a393703c-7469-4966-9ed4-bf7e4a113e5c,t-jiachentu,0.001,False,0,BrainIACModel,Classification,200,False,BrainIACModel,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,8,200,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/home/t-jiachentu/repos/BrainIAC/src/BrainIAC/checkpoints/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,1,epochwise,cls_token,True,0,3475.179952935,7999.0,1750745877.1024008,199.0,1.0061066921578009e-06,0.9863481521606444,1.0,0.22410649061203003,0.1996789574623108,7399.0,0.8979591727256775,0.43817007541656494,,,,,,,,,,,
cr12g55r,brainiac_pretrained_t1c_2025-06-24_07-36-13,finished,2025-06-24T07:36:23Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/cr12g55r,,9bbaf22d-8ab2-4073-8f1a-ea6bbf8bf671,t-jiachentu,0.001,False,0,BrainIACModel,Classification,200,False,BrainIACModel,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,8,200,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,1,epochwise,cls_token,True,0,354.794607137,718.0,1750750937.6776135,17.0,9.8245592213661e-05,0.7747440338134766,0.6000000238418579,0.6322340965270996,0.5709158182144165,665.0,0.7448979616165161,0.7353795766830444,,,,,,,,,,,
1eyoajy5,brainiac_pretrained_t1c_2025-06-24_07-42-49,finished,2025-06-24T07:43:06Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/1eyoajy5,,e717d310-58f2-4572-b82b-114104269c12,t-jiachentu,0.001,False,0,BrainIACModel,Classification,200,False,BrainIACModel,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,8,200,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,1,epochwise,cls_token,True,0,398.284340386,518.0,1750751384.2707002,12.0,9.912321891107008e-05,0.7986348271369934,1.0,0.6040192246437073,0.2983081042766571,480.0,0.7448979616165161,0.6511305570602417,,,,,,,,,,,
gcv5585m,brainiac_pretrained_t1c_2025-06-24_07-50-08,finished,2025-06-24T07:50:22Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/gcv5585m,,f5c757c7-16bb-40f2-9aa0-120fad49632f,t-jiachentu,0.001,False,0,BrainIACModel,Classification,200,False,BrainIACModel,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,8,200,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,1,epochwise,cls_token,True,0,108.808515844,78.0,1750751531.1328027,1.0,9.99938933078422e-05,0.7815699577331543,0.800000011920929,0.6815863251686096,0.5123047828674316,73.0,0.7448979616165161,0.7714217305183411,,,,,,,,,,,
zfim7o4i,brainiac_pretrained_t1c_2025-06-24_07-59-09,finished,2025-06-24T07:59:18Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_brainiac_pretrained/runs/zfim7o4i,,188245cd-9f0c-4927-b8f9-149a15bc010c,t-jiachentu,0.001,False,0,BrainIACModel,Classification,200,False,BrainIACModel,200,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,8,200,True,True,0,gpu,"[128, 128, 128]",0.2,2,16,val,False,0.2,1.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1,1,False,False,True,False,1,epochwise,cls_token,True,0,2126.576417903,2798.0,1750754084.4941304,69.0,7.366252580589837e-05,0.8839590549468994,1.0,0.38401728868484497,0.2593524158000946,2589.0,0.8673469424247742,0.43649378418922424,,,,,,,,,,,
