run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dinov2_model_name,config_slice_aggregation,config_chpt_path,config_final_batch_size,config_auto_batch_size_mode,config_auto_batch_size_steps,config_auto_batch_size_enabled,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss
7246916765.22503-1eb627b0-9b15,brainmvp_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_07-39-59,crashed,2025-07-21T07:40:21Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246916765.22503-1eb627b0-9b15,,296c0da9-c604-4357-8e4f-d520a2b9b2c8,t-jiachentu,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,300,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,6,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,cls_token,True,0.0,0.983909785747528,0.9889979362487792,0.9388937950134276,0.9448086023330688,0.3648185431957245,0.7994567155838013,0.7835615873336792,0.6000000238418579,0.6064257025718689,0.6720812916755676,38089.278223545,1464,1753121715.066353,243.0,9.549150281252638e-06,71492,,,,,,,,,,,,
7246912681.56683-eddc12bd-2b8e,brainiac_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_08-48-02,failed,2025-07-21T08:48:28Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246912681.56683-eddc12bd-2b8e,,211330ba-75fb-4778-91fe-ca4ce8687145,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-05,6,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,cls_token,True,0.0,,,,,,,,,,,609.0,0,1753088288.674913,,2.380952380952381e-06,0,,,,,,,,,,,,
7246912654.58269-798bcb05-0d8f,brainiac_scratch_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_08-48-23,failed,2025-07-21T08:48:53Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246912654.58269-798bcb05-0d8f,,45d62a2f-88e4-47bb-b7d9-09d22d8202c1,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,6,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,cls_token,True,0.0,,,,,,,,,,,583.0,0,1753088288.274821,,4.761904761904762e-06,0,,,,,,,,,,,,
7246911842.11365-4e15cf38-68f6,brainiac_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_09-01-53,failed,2025-07-21T09:02:21Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246911842.11365-4e15cf38-68f6,,9f7153f0-ee9b-4148-b811-505e1a0e8dd2,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,5e-05,6,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,cls_token,True,0.0,,,,,,,,,,,630.0,0,1753089141.4482098,,2.380952380952381e-06,0,,,,,,,,,,,,
7246911811.81456-e422c6e6-478c,brainiac_scratch_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_09-02-56,failed,2025-07-21T09:03:29Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246911811.81456-e422c6e6-478c,,6e8703e2-b6ad-439b-891a-f0b0905f6a19,t-jiachentu,False,0,Classification,100,False,brainiac,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,6,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,cls_token,True,0.0,,,,,,,,,,,669.0,0,1753089244.4527414,,4.761904761904762e-06,0,,,,,,,,,,,,
7246911093.14164-43abe77b-600c,brainmvp_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_09-14-14,finished,2025-07-21T09:14:37Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246911093.14164-43abe77b-600c,,6421fae2-7852-4a54-bbf8-c81cae3f55fa,t-jiachentu,False,0,Classification,100,False,brainmvp,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,6,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,cls_token,True,0.0,0.928110122680664,0.9417186975479126,0.7918896675109863,0.8352793455123901,0.42503970861434937,0.6576931476593018,0.7315068244934082,0.4931506812572479,0.4235294163227082,0.6820448040962219,22594.0,599,1753111869.8794713,99.0,3.854818796385494e-08,29299,,,,,,,,,,,,
7246910391.56117-7628500f-790d,dinov2_frozen_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_09-25-59,crashed,2025-07-21T09:26:18Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246910391.56117-7628500f-790d,,9aaca7e3-5e65-4945-b9a4-409d7f268e7b,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.001,6,False,0,True,False,full,True,0.2,,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,mean,True,0.5,0.760092556476593,0.8105300664901733,0.7159157991409302,0.687197208404541,1.4943112134933472,0.8450160026550293,0.8712328672409058,0.5621917843818665,0.35771670937538147,2.1429247856140137,31569.320498033,384,1753121548.677445,63.0,0.0004217827674798848,18752,facebook/dinov2-base,mean,,,,,,,,,,
7246910350.69410-34f6c365-bc4d,dinov2_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_09-26-16,failed,2025-07-21T09:26:36Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246910350.69410-34f6c365-bc4d,,0523e730-b507-4971-801b-2cedc49d785f,t-jiachentu,False,0,Classification,100,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,6,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,mean,True,0.5,,,,,,,,,,,664.0,0,1753090624.5725036,,4.761904761904762e-06,0,facebook/dinov2-base,mean,,,,,,,,,,
7246909416.36191-2a1a35f1-ca4b,resenc_pretrained_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_09-42-04,finished,2025-07-21T09:42:43Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246909416.36191-2a1a35f1-ca4b,,80d9aa85-304f-4e3f-ade9-39cb317c7038,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,6,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,,,0.2,0.9303216934204102,0.9328352212905884,0.8578278422355652,0.8830992579460144,0.40481558442115784,0.7825154662132263,0.7838356494903564,0.7257534265518188,0.7467700242996216,0.5555336475372314,26938.0,599,1753117903.6047652,99.0,3.854818796385494e-08,29299,,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,,,,,,,,
7246909375.20228-19d4c624-b2e7,resenc_scratch_multi_t1_t1c_t2_flair_adc_dwi_2025-07-21_09-42-26,finished,2025-07-21T09:42:45Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_adc_dwi/runs/7246909375.20228-19d4c624-b2e7,,8170fafe-1646-4b72-96cf-6784d6b1d9e5,t-jiachentu,False,0,Classification,100,False,ResEncoder_Classifier,100,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,20,1,False,100,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,0.0001,6,False,0,True,False,full,False,0.2,,False,batchgenerators.get_training_transforms,10,False,False,idh_classification,False,False,1,epochwise,,,0.2,0.9529089331626892,0.9553970098495485,0.9013901352882384,0.9298595190048218,0.39274123311042786,0.9242024421691896,0.924931526184082,0.8263013362884521,0.8534688949584961,0.44582095742225647,25623.0,599,1753116591.7413015,99.0,3.854818796385494e-08,29299,,,,,,,,,,,,
