run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_gradient_clip_val,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-SGD,metric_trainer/global_step,config_cifar_size,config_dinov2_model_name,config_slice_aggregation,metric_lr-AdamW,config_chpt_path
7247515625.66889-1be6cdc0-517a,brainiac_pretrained_t1gd_2025-07-14_09-23-32,finished,2025-07-14T09:23:58Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247515625.66889-1be6cdc0-517a,,a04d5cdd-2d81-41e2-b45d-32eae78120f3,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,8,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0005,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,False,batchgenerators.get_training_transforms,1.0,1,False,False,survival_1year,True,False,1,epochwise,cls_token,True,0.0,0.5420899391174316,0.5436773300170898,0.5062922239303589,0.4514462947845459,0.6898150444030762,0.6321564316749573,0.604633092880249,0.5579913258552551,0.4985295832157135,0.6827967762947083,9136.0,1799,1752494171.9136715,299.0,2.7415317243928465e-08,13499,,,,,
7247515617.19994-9fa44b26-ab05,brainiac_t1gd_2025-07-14_09-23-35,finished,2025-07-14T09:23:59Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247515617.19994-9fa44b26-ab05,,a3387958-1ede-496b-ab58-f794a7eba753,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,3,SGD,16-mixed,CosineAnneal,False,0,8,300,False,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.001,1,False,0,True,False,full,False,0.1,,False,batchgenerators.get_training_transforms,1.0,1,False,False,survival_1year,True,False,1,epochwise,cls_token,True,0.0,0.5570574998855591,0.5648595690727234,0.5147458910942078,0.43859511613845825,0.6885479688644409,0.5429707765579224,0.5304726362228394,0.4968905448913574,0.4236166775226593,0.6868762969970703,9281.0,1799,1752494319.042825,299.0,2.7415317243928465e-08,13499,,,,,
7247513994.17930-8d141ba1-058d,dinov2_tunable_t1gd_2025-07-14_09-45-00,finished,2025-07-14T09:45:18Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247513994.17930-8d141ba1-058d,,2159e1df-71a7-4ee4-ab94-71a195e9bcb0,t-jiachentu,0.0001,False,0,Classification,50,False,dinov2,50,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,0,1,100,False,True,0,gpu,0.2,2,16,val,False,,1,False,0.0001,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,5e-05,1,False,0,True,False,full,False,0.1,,False,batchgenerators.get_training_transforms,,1,False,False,survival_1year,True,False,4,epochwise,mean,False,0.5,0.4863341152667999,0.48248422145843506,0.5110954642295837,0.4842693209648132,0.6971359252929688,0.5066910982131958,0.4931591749191284,0.5,0.3681318759918213,0.6865129470825195,28854.0,599,1752515170.4403708,99.0,,8899,False,facebook/dinov2-base,mean,9.990133642141352e-05,
7247514041.94876-835ffc7e-0cde,brainmvp_pretrained_t1gd_2025-07-14_09-50-43,finished,2025-07-14T09:51:03Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247514041.94876-835ffc7e-0cde,,8913ef1d-27d4-4542-94e8-3123df761a08,t-jiachentu,0.001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,2,SGD,16-mixed,CosineAnneal,False,0,6,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,,1,False,False,survival_1year,True,False,1,epochwise,cls_token,False,0.0,0.7097294926643372,0.7238143682479858,0.663677990436554,0.6639204621315002,0.6303476691246033,0.6992782354354858,0.6834577322006226,0.6096081733703613,0.6088435649871826,0.6398728489875793,6802.0,1799,1752493464.4386058,299.0,2.7415317243928465e-08,17699,,,,,
7247481706.97759-410c2043-db64,resenc_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-14_18-48-26,finished,2025-07-14T18:48:58Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247481706.97759-410c2043-db64,,281c872b-af5e-491a-b7cb-d807455dbda8,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,8,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,,4,False,0,True,False,full,,0.2,,False,batchgenerators.get_training_transforms,,10,False,False,survival_1year,False,False,1,epochwise,,,0.2,0.8727203607559204,0.8984771966934204,0.8627100586891174,0.8633372187614441,0.5008761882781982,0.6228510737419128,0.6290422677993774,0.5738494992256165,0.573283851146698,0.7670168876647949,24101.0,1799,1752543041.081002,299.0,,13499,False,,,3.147162264971471e-09,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth
7247481697.50684-a429b8ad-f85e,resenc_multimodal_scratch_multi_t1_t1gd_t2_flair_2025-07-14_18-48-37,finished,2025-07-14T18:48:59Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247481697.50684-a429b8ad-f85e,,1a7f10f9-8ead-4c70-a1df-b6d0763d44b2,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,10,300,False,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,,4,False,0,True,False,full,,0.2,,False,batchgenerators.get_training_transforms,,10,False,False,survival_1year,False,False,1,epochwise,,,0.2,0.8297731280326843,0.8412851691246033,0.7694127559661865,0.7696434855461121,0.5698524713516235,0.6666557192802429,0.7016479969024658,0.6497201919555664,0.6417445540428162,0.6748090386390686,30107.0,1799,1752549046.5605288,299.0,,10799,False,,,3.147162264971471e-09,
7247466658.38679-655e62f0-ee0a,resenc_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-14_23-01-07,finished,2025-07-14T23:01:51Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247466658.38679-655e62f0-ee0a,,258f46f4-2e33-478b-89a3-b8f05fac3129,t-jiachentu,0.0001,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,8,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,,4,False,0,True,False,full,,0.2,,False,batchgenerators.get_training_transforms,,10,False,False,survival_1year,False,False,1,epochwise,,,0.2,0.9460090398788452,0.9542251825332642,0.9156233072280884,0.9150807857513428,0.4391191601753235,0.6826009750366211,0.6674439907073975,0.6274875402450562,0.6266233921051025,0.7549557089805603,25215.0,1799,1752559326.7141614,299.0,,13499,False,,,3.147162264971471e-09,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth
7247462914.93510-da2b2c2b-13e0,brainmvp_pretrained_t1gd_2025-07-14_23-59-13,finished,2025-07-14T23:59:34Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247462914.93510-da2b2c2b-13e0,,9c85ffa7-edd7-4a77-b602-785184564262,t-jiachentu,0.001,False,0,Classification,300,False,brainmvp,300,False,1,multiclass,False,auto,False,2,SGD,16-mixed,CosineAnneal,False,0,6,300,True,True,0,gpu,0.2,2,16,val,False,0.2,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,1,False,0,True,False,full,False,0.1,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,,1,False,False,survival_1year,True,False,1,epochwise,cls_token,False,0.0,0.7097294926643372,0.7238143682479858,0.663677990436554,0.6639204621315002,0.6303476691246033,0.6992782354354858,0.6834577322006226,0.6096081733703613,0.6088435649871826,0.6398728489875793,7389.0,1799,1752544964.2717173,299.0,2.7415317243928465e-08,17699,,,,,
yfcd0mjh,brainmvp_multimodal_pretrained_multi_t1_t1gd_t2_flair_2025-07-15_01-27-27,crashed,2025-07-15T01:27:38Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/yfcd0mjh,,5478799f-4e3f-425c-b1eb-92972f8397d0,t-jiachentu,0.0001,False,0,Classification,5,False,brainmvp,5,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,True,20,8,5,True,True,0,gpu,0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,0.0001,4,False,0,True,False,full,False,0.2,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/BrainMVP/checkpoint_final.pth,False,batchgenerators.get_training_transforms,,10,False,False,survival_1year,False,False,1,epochwise,cls_token,,0.0,,,,,,,,,,,11.126232578,0,1752542868.4254868,,,0,False,,,4.761904761904762e-06,
7247394180.38288-7c7acfe2-e94e,EMDAE_2025-07-15_19-07-23_survival_1year_mod0,finished,2025-07-15T19:07:47Z,https://microsoft-research.wandb.io/t-jiachentu/upenn_gbm_survival_1year/runs/7247394180.38288-7c7acfe2-e94e,,56961a94-8bb9-4ff4-8309-d1478d09397d,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,3,AdamW,16-mixed,CosineAnneal,False,20,10,300,True,True,0,gpu,0.2,2,16,val,False,,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset004_UPENN_GBM,False,,1,False,0,True,False,full,,0.2,,False,batchgenerators.get_training_transforms,,10,False,False,survival_1year,True,False,1,epochwise,,,0.2,0.989080548286438,0.989048719406128,0.9633193612098694,0.9631707668304444,0.3844374716281891,0.6514856815338135,0.6787935495376587,0.6290422677993774,0.6299348473548889,0.8305296897888184,18480.0,1799,1752624948.5241437,299.0,,10799,False,,,3.1471622649714703e-10,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth
