name,url,run_count,created_at,description,benchmark,modalities
july_stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_upenn_gbm_survival_1year_multi_t1_t1gd_t2_flair,N/A,2025-08-10T06:59:59Z,,upenn_gbm_survival_1year,t1_t1gd_t2_flair
july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_upenn_gbm_survival_18month_multi_t1_t1gd_t2_flair,N/A,2025-08-10T06:59:49Z,,upenn_gbm_survival_18month,t1_t1gd_t2_flair
july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_upenn_gbm_idh1_status_multi_t1_t1gd_t2_flair,N/A,2025-08-10T06:58:01Z,,upenn_gbm_idh1_status,t1_t1gd_t2_flair
july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_upenn_gbm_gender_multi_t1_t1gd_t2_flair,N/A,2025-08-10T06:57:56Z,,upenn_gbm_gender,t1_t1gd_t2_flair
july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_upenn_gbm_age_group_multi_t1_t1gd_t2_flair,N/A,2025-08-10T06:54:43Z,,upenn_gbm_age_group,t1_t1gd_t2_flair
july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,https://wandb.ai/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,N/A,2025-08-10T06:54:37Z,,ucsf_pdgm_idh_classification,t1_t1c_t2_flair_swi_asl
july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair,https://wandb.ai/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair,N/A,2025-08-10T06:54:01Z,,rsna_miccai_brain_tumor_mgmt_methylation,t1w_t1wce_t2w_flair
july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f,https://wandb.ai/t-jiachentu/july_stratified_brats23_men_vs_met_multi_t1n_t1c_t2w_t2f,N/A,2025-08-10T06:53:18Z,,brats23_men_vs_met,t1n_t1c_t2w_t2f
july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,https://wandb.ai/t-jiachentu/july_stratified_brats23_gli_vs_met_multi_t1n_t1c_t2w_t2f,N/A,2025-08-10T06:52:04Z,,brats23_gli_vs_met,t1n_t1c_t2w_t2f
july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,https://wandb.ai/t-jiachentu/july_stratified_brats23_gli_vs_men_multi_t1n_t1c_t2w_t2f,N/A,2025-08-10T06:51:58Z,,brats23_gli_vs_men,t1n_t1c_t2w_t2f
july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,https://wandb.ai/t-jiachentu/july_stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,N/A,2025-08-10T06:44:50Z,,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_upenn_gbm_gtr_status_multi_t1_t1gd_t2_flair,N/A,2025-08-08T02:54:52Z,,upenn_gbm_gtr_status,t1_t1gd_t2_flair
july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,N/A,2025-07-31T21:13:46Z,,tcga_gbm_dss_1year,t1_t1gd_t2_flair
july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_tcga_gbm_pfi_1year_multi_t1_t1gd_t2_flair,N/A,2025-07-31T21:08:57Z,,tcga_gbm_pfi_1year,t1_t1gd_t2_flair
july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair,https://wandb.ai/t-jiachentu/july_stratified_upenn_gbm_survival_2year_multi_t1_t1gd_t2_flair,N/A,2025-07-31T20:28:38Z,,upenn_gbm_survival_2year,t1_t1gd_t2_flair
